key,en_source,current_ui_text,context
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",Interface term
common.opened,Opened,Avaed,Interface term
common.closed,Closed,Sulged,Interface term
common.points,point(s),point(s),Interface term
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,Interface term
candidate.identity.name,Candidate name,Kandidaat name,Interface term
candidate.identity.examLevel,Exam level,Exam level,Interface term
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before opening exam sections.,Interface term
candidate.identity.confirmed,Identity confirmed,Identity confirmed,Interface term
candidate.landing.title,Candidate landing page,Kandidaat landing page,Interface term
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Vaata üle which sections are ready before opening work for this exam attempt.,Interface term
candidate.readiness.identity,Identity confirmed,Identity confirmed,Interface term
candidate.readiness.writtenTest,Written test available,Written test available,Interface term
candidate.readiness.report,Report section available,Aruanne section available,Interface term
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,Interface term
candidate.section.closed,This section is closed.,This section is closed.,Interface term
candidate.section.open,This section is open.,This section is open.,Interface term
candidate.section.locked,This section is locked.,This section is locked.,Interface term
candidate.section.requestReopen,Request reopen,Request reopen,Interface term
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Interface term
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Keskus to import/select a test package and save Keskus Seadistus.,Interface term
test.question,Question,Küsimus,Interface term
test.writeAnswer,Write your answer here,Write your answer here,Interface term
examiner.writtenReview.title,Written test review,Written test review,Interface term
examiner.writtenReview.variant,Variant,Variant,Interface term
examiner.writtenReview.correct,correct,correct,Interface term
examiner.writtenReview.incorrect,incorrect,incorrect,Interface term
examiner.writtenReview.unanswered,unanswered,unanswered,Interface term
examiner.writtenReview.manual,manual review,manual review,Interface term
examiner.writtenReview.candidateAnswer,Candidate answer,Kandidaat answer,Interface term
examiner.writtenReview.correctAnswer,Correct answer,Correct answer,Interface term
examiner.writtenReview.computedScore,Computed written score,Computed written score,Interface term
examiner.writtenReview.apply,Apply computed written score,Apply computed written score,Interface term
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only küsimused with a configured correctVastus are auto-scored. Written vastused remain examiner-reviewed.,Interface term
examiner.reportReview.title,Consulting report review,Consulting report review,Interface term
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Vaata üle the candidate report draft, field notes, photos and section completeness before assigning the report score.",Interface term
examiner.reportReview.sections,sections,sections,Interface term
examiner.reportReview.photos,photos,photos,Interface term
examiner.reportReview.complete,complete,complete,Interface term
examiner.reportReview.filled,filled,filled,Interface term
examiner.reportReview.missing,missing,missing,Interface term
report.photoAdded,Photo added to the report draft.,Foto added to the report draft.,Interface term
report.photoError,Photo could not be loaded. Try another image.,Foto could not be loaded. Try another image.,Interface term
examiner.identity.title,Confirm Examiner identity,Confirm Eksamineerija identity,Interface term
examiner.identity.name,Examiner name,Eksamineerija name,Interface term
examiner.identity.confirmed,Identity confirmed,Identity confirmed,Interface term
examiner.identity.confirm,Confirm identity,Confirm identity,Interface term
examiner.worklist.title,Assigned Candidate worklist,Assigned Kandidaat worklist,Interface term
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Eksamineerija must complete the full outdoor form. Secondary Eksamineerija input is optional/supporting.,Interface term
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,Ei assigned Kandidaats are available for this Eksamineerija.,Interface term
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Keskus to assign this Eksamineerija as primary or secondary, save Keskus Seadistus, then reopen the Eksamineerija QR session.",Interface term
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary examiner for this candidate,Interface term
examiner.role.primary,primary,primary,Interface term
examiner.role.secondary,secondary,secondary,Interface term
outdoor.backToLanding,Back to landing,Back to landing,Interface term
outdoor.candidateBinding,Candidate binding,Kandidaat binding,Interface term
outdoor.activeRecord,Active record,Active record,Interface term
outdoor.level,Level,Level,Interface term
outdoor.total,Outdoor total,Outdoor total,Interface term
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,Interface term
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Kandidaat prepares this on paper. Eksamineerija photographs it as a pilot/archive placeholder.,Interface term
outdoor.paperArchive.button,Photograph paper plan,Fotograph paper plan,Interface term
outdoor.paperArchive.photos,Archived photos,Archived photos,Interface term
outdoor.points,points,points,Interface term
outdoor.detail.title,Outdoor form detail,Outdoor form detail,Interface term
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between sections freely. Each question includes Märkused / marking guidance.,Interface term
outdoor.pointsLabel,Points,Points,Interface term
outdoor.examinerNotes,Examiner notes / justification,Eksamineerija notes / justification,Interface term
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,Interface term
outdoor.mode.primary,primary - full form required,primary - full form required,Interface term
outdoor.mode.secondary,secondary - optional input,secondary - optional input,Interface term
outdoor.mode.unassigned,unassigned,unassigned,Interface term
outdoor.autosave,autosave to sync queue,autosave to sync queue,Interface term
scoring.title,Examiner / Candidate scoring and evaluation,Eksamineerija / Kandidaat scoring and evaluation,Interface term
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the candidate level.,Interface term
scoring.written,Written,Written,Interface term
scoring.outdoor,Outdoor,Outdoor,Interface term
scoring.report,Report,Aruanne,Interface term
scoring.total,Total,Total,Interface term
scoring.percentage,Percentage,Percentage,Interface term
scoring.result,Result,Tulemus,Interface term
scoring.pass,PASS,PASS,Interface term
scoring.notPassed,NOT PASSED,NOT PASSED,Interface term
scoring.generate,Generate Evaluation,Generate Evaluation,Interface term
scoring.loadPreview,Load Evaluation Preview,Laadi Evaluation Preview,Interface term
scoring.loading,Loading...,Laadiing...,Interface term
scoring.downloadDraftExport,Download Draft Export (.xls),Download Mustand Ekspordi (.xls),Interface term
scoring.exporting,Exporting...,Ekspordiing...,Interface term
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Mustand Ekspordi only — not the official VETcert evaluation template.,Interface term
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,Interface term
evaluation.preview.title,Evaluation preview,Evaluation preview,Interface term
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-loaded preview of the current Kandidaat evaluation data.,Interface term
evaluation.preview.written,Written,Written,Interface term
evaluation.preview.outdoor,Outdoor,Outdoor,Interface term
evaluation.preview.report,Report,Aruanne,Interface term
evaluation.preview.total,Total,Total,Interface term
evaluation.preview.percentage,Percentage,Percentage,Interface term
evaluation.preview.result,Result,Tulemus,Interface term
evaluation.preview.outdoorScores,Outdoor scores,Outdoor scores,Interface term
evaluation.preview.reportSummary,Report summary,Aruanne summary,Interface term
evaluation.preview.hasReportDraft,Report draft,Aruanne draft,Interface term
evaluation.preview.treesWithContent,Trees with content,Puus with content,Interface term
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,Interface term
evaluation.preview.finalSectionsFilled,Final sections filled,Final sections filled,Interface term
evaluation.preview.photoPlaceholders,Photo placeholders,Foto placeholders,Interface term
evaluation.preview.submitted,Submitted,Submitted,Interface term
evaluation.preview.primaryScores,Primary scores,Primary scores,Interface term
evaluation.preview.secondaryScores,Secondary scores,Secondary scores,Interface term
evaluation.preview.yes,yes,yes,Interface term
evaluation.preview.no,no,no,Interface term
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Ava delegated workspace,Interface term
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Ava workspace using Keskus QR received from Administraator.,Interface term
centre.access.placeholder,Paste centre token,Paste centre token,Interface term
centre.access.open,Open centre workspace,Ava centre workspace,Interface term
centre.access.prototypeToken,Prototype token,Prototype token,Interface term
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Download Keskus Audit Pakett (.xls),Interface term
centre.setupPersistence.exporting,Exporting...,Ekspordiing...,Interface term
centre.dataMode.backend,backend-loaded pilot data,backend-loaded pilot data,Interface term
centre.dataMode.demo,demo fallback data,demo fallback data,Interface term
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,Interface term
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,Interface term
centre.variants.import,Import tests,Impordi tests,Interface term
centre.candidates.title,Candidate list,Kandidaat list,Interface term
centre.candidates.add,Add candidate,Add candidate,Interface term
centre.candidateDetails.id,Candidate ID,Kandidaat ID,Interface term
centre.candidateDetails.name,Name,Nimi,Interface term
centre.candidateDetails.level,Level,Level,Interface term
centre.examiners.title,Examiner list,Eksamineerija list,Interface term
centre.examiners.add,Add examiner,Add examiner,Interface term
centre.examinerDetails.id,ID,ID,Interface term
centre.examinerDetails.name,Name,Nimi,Interface term
centre.examinerDetails.email,Email,Email,Interface term
centre.assignments.title,Examiner assignments,Eksamineerija assignments,Interface term
centre.assignments.candidate,Candidate,Kandidaat,Interface term
centre.assignments.level,Level,Level,Interface term
centre.assignments.primary,Primary Examiner,Primary Eksamineerija,Interface term
centre.assignments.secondary,Secondary Examiner,Secondary Eksamineerija,Interface term
centre.workflow.title,Pilot workflow status,Pilot workflow status,Interface term
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.",Interface term
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,Interface term
centre.workflow.setupIssues,Centre Setup issue(s),Keskus Seadistus issue(s),Interface term
centre.workflow.candidates,candidates,candidates,Interface term
centre.workflow.examiners,examiners,examiners,Interface term
centre.workflow.assignments,assignments,assignments,Interface term
centre.workflow.testPackageImported,test package imported,test package imported,Interface term
centre.workflow.noTestPackage,no test package,no test package,Interface term
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Laadi Keskus Seadistus to use backend-loaded pilot data; counts may reflect demo fallback state until then.,Interface term
centre.workflow.candidate,Candidate,Kandidaat,Interface term
centre.workflow.level,Level,Level,Interface term
centre.workflow.primaryExaminer,Primary Examiner,Primary Eksamineerija,Interface term
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Eksamineerija,Interface term
centre.workflow.identity,Identity,Identity,Interface term
centre.workflow.writtenTest,Written test,Written test,Interface term
centre.workflow.report,Report,Aruanne,Interface term
centre.workflow.responses,Responses,Responses,Interface term
centre.workflow.outdoorScores,Outdoor scores,Outdoor scores,Interface term
centre.workflow.confirmed,confirmed,confirmed,Interface term
centre.workflow.notConfirmed,not confirmed,not confirmed,Interface term
centre.workflow.closedAt,Closed,Sulged,Interface term
centre.workflow.sections,sections,sections,Interface term
centre.workflow.photos,photos,photos,Interface term
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Ava the Keskus portal with a valid Keskus QR session, then try again.",Interface term
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",Interface term
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Laadied Keskus Seadistus for exam event {event}.,Interface term
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Salvestatud Keskus Seadistus for exam event {event}.,Interface term
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Keskus Seadistus could not be loaded. Check the session and try again.,Interface term
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Keskus Seadistus could not be saved. Check the Keskus session and try again.,Interface term
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Ava the Keskus portal with a valid Keskus QR session before downloading the Audit Pakett.,Interface term
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Imporditud {variants} variants and {küsimused} küsimused. {questions},Interface term
status.testImport.failedWithMessage,Test import failed: {message},Test import failed: {message},Interface term
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Test import failed: the file could not be read.,Interface term
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Ava this portal with a valid QR session before loading the evaluation preview.,Interface term
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reopen the Eksamineerija QR session and try again.,Interface term
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Ava this portal with a valid QR session before downloading the Mustand Ekspordi.,Interface term
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Mustand Ekspordi is unavailable. Reopen the Eksamineerija QR session and try again.,Interface term
common.open,Open,Ava,Interface term
common.close,Close,Sulge,Interface term
common.cancel,Cancel,Cancel,Interface term
common.ready,Ready,Valmis,Interface term
app.heroTitle,Digital VETcert examination system,Digital VETcert examination system,Interface term
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,Interface term
qrScanner.scan,Scan {role} QR,Scan {role} QR,Interface term
admin.openExam.title,Admin / Open exam event,Administraator / Ava exam event,Interface term
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Administraator sets centre, date, place and exam language, then sends centre access QR.",Interface term
admin.centre,Certification centre,Certification centre,Interface term
admin.examLanguage,Exam language,Exam language,Interface term
admin.examDate,Exam date,Exam date,Interface term
admin.place,Place,Place,Interface term
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit examination materials,Interface term
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four examination documents. Küsimuss, sections, scoring and examiner guidance are edited here and saved as the final examination package.",Interface term
admin.authoring.panelTitle,Create/edit examination materials,Create/edit examination materials,Interface term
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Muuda the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Interface term
admin.authoring.loadVet,Load .vet,Laadi .vet,Interface term
admin.authoring.printPdf,Print / PDF,Print / PDF,Interface term
admin.authoring.createPackage,Create package,Create package,Interface term
admin.authoring.advancedTools,Advanced tools,Advanced tools,Interface term
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,Interface term
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,Interface term
admin.authoring.openCurrent,Open current materials,Ava current materials,Interface term
admin.authoring.openDraft,Open working draft,Ava working draft,Interface term
admin.authoring.saveDraft,Save draft,Salvesta draft,Interface term
admin.authoring.saveAdminJson,Save as Admin JSON package,Salvesta as Administraator JSON package,Interface term
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest package from Administraator workflow,Interface term
admin.authoring.listDrafts,List all drafts,List all drafts,Interface term
admin.authoring.importJson,Import JSON,Impordi JSON,Interface term
admin.authoring.exportDraft,Export draft,Ekspordi draft,Interface term
admin.authoring.exportPackageJson,Export package JSON,Ekspordi package JSON,Interface term
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.",Interface term
admin.authoring.savedDrafts,Saved structured drafts,Salvestatud structured drafts,Interface term
admin.authoring.selectDraft,Select draft...,Select draft...,Interface term
admin.authoring.openDraftShort,Open draft,Ava draft,Interface term
admin.authoring.itemsLabel,items,üksused,Interface term
admin.authoring.questionsLabel,questions,küsimused,Interface term
admin.authoring.pointsLabel,marks,punktid,Interface term
admin.authoring.manualReviewTitle,Manual document review,Manual document review,Interface term
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Muuda the preface, candidate introduction, sections and küsimused. This structure is the source for the JSON package and print/PDF.",Interface term
admin.authoring.filterSection,Filter section,Filter section,Interface term
admin.authoring.allSections,All sections,Kõik sections,Interface term
admin.authoring.documentTitle,Document title,Document title,Interface term
admin.authoring.prefaceLabel,Preface / document notes,Preface / document notes,Interface term
admin.authoring.candidateIntroLabel,Introductory text for candidates,Introductory text for candidates,Interface term
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Jaotiss are created from the Jaotis field in individual küsimused.,Interface term
admin.authoring.addItem,+ item,+ item,Interface term
admin.authoring.noItems,This document has no items yet.,This document has no üksused yet.,Interface term
admin.authoring.noSectionItems,This section has no items yet.,This section has no üksused yet.,Interface term
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,Ei active package is loaded. Use Laadi .vet or create a new package.,Interface term
admin.authoring.itemEditorTitle,Edit item,Muuda item,Interface term
admin.authoring.idLabel,ID,ID,Interface term
admin.authoring.numberLabel,Number,Number,Interface term
admin.authoring.typeLabel,Type,Tüüp,Interface term
admin.authoring.maxScoreLabel,Maximum score,Maximum score,Interface term
admin.authoring.sectionFieldLabel,Section,Jaotis,Interface term
admin.authoring.themeLabel,Theme,Teema,Interface term
admin.authoring.questionBodyLabel,Question body,Küsimus body,Interface term
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Küsimus body / candidate text,Interface term
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Eksamineerija help / scoring guidance,Interface term
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Options, one per line, e.g. A. ...",Interface term
admin.authoring.correctAnswerLabel,Correct answer,Correct answer,Interface term
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Eksamineerija help / correct answer / scoring guidance,Interface term
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered section,Interface term
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were saved locally.,Interface term
admin.authoring.autosaveFailed,Local autosave failed.,Local autosave failed.,Interface term
common.duplicate,Duplicate,Dubleeri,Interface term
common.delete,Delete,Kustuta,Interface term
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and examination language, then sends the Keskus access link / QR.",Interface term
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,Interface term
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,Interface term
admin.centreAccess.title,Centre access link / QR,Keskus access link / QR,Interface term
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,Interface term
admin.centreAccess.scan,Scan centre QR,Scan centre QR,Interface term
admin.multilingual.title,Admin / Multilingual layer,Administraator / Multilingual layer,Interface term
