key,en_source,current_ui_text,context
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Kandidatas QR issued by the Centras.,Interface term
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before opening sections.,Interface term
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test atsakymai autosave to the sync queue.,Interface term
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting report photo entries are pilot/archive placeholders, not real uploads yet.",Interface term
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Centras staff before final submit.",Interface term
help.examiner.title,Examiner quick help,Egzaminuotojas quick help,Interface term
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Egzaminuotojas QR issued by the Centras.,Interface term
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before opening outdoor forms.,Interface term
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Kandidatass are shown.,Interface term
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Egzaminuotojas completes the full outdoor form; Secondary input is supporting.,Interface term
help.examiner.autosave,Scores and notes autosave to the sync queue.,Balass and notes autosave to the sync queue.,Interface term
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Kandidatass are missing, ask the Centras to assign and save Centras Nustatymai.",Interface term
centre.validation.title,Centre Setup checks,Centras Nustatymai checks,Interface term
centre.validation.ready,Ready for pilot smoke test,Paruošta for pilot smoke test,Interface term
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,Interface term
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Klaidas should be fixed before distributing QR links. Įspėjimass can be reviewed during pilot preparation.,Interface term
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Ne validation issues. Nustatymai is ready for pilot smoke test.,Interface term
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,Interface term
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",Interface term
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,Interface term
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix validation errors before distributing QR links.,Interface term
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Išsaugoti Centras Nustatymai before distributing QR links.,Interface term
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importuoti/select a test package before written test pilot runs.,Interface term
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Įkelti backend Centras Nustatymai before pilot testing with real users.,Interface term
centre.run.title,Pilot run summary,Pilot run summary,Interface term
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Kandidatas or Egzaminuotojas QR links.,Interface term
centre.run.dataMode,Data mode,Data mode,Interface term
centre.run.setup,Centre Setup,Centras Nustatymai,Interface term
centre.run.validation,Validation,Patikra,Interface term
centre.run.testPackage,Test package,Testas package,Interface term
centre.run.qrDistribution,QR distribution,QR distribution,Interface term
centre.run.backend,backend-loaded pilot data,backend-loaded pilot data,Interface term
centre.run.demo,demo fallback data,demo fallback data,Interface term
centre.run.saved,Saved / no local changes,Išsaugota / no local changes,Interface term
centre.run.unsaved,Unsaved local changes,Unsaved local changes,Interface term
centre.run.imported,Imported,Importuotiuota,Interface term
centre.run.missing,Missing,Trūksta,Interface term
centre.run.qrReady,Ready after setup is saved and backend-loaded,Paruošta after setup is saved and backend-loaded,Interface term
centre.run.review,Review guardrails,Peržiūrėti guardrails,Interface term
centre.network.title,Network readiness checklist,Network readiness checklist,Interface term
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Kandidatas QR and Egzaminuotojas QR links during a pilot session.,Interface term
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,Interface term
centre.network.internet,Internet access works on tablets,Internet access works on tablets,Interface term
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL opens on tablets,Interface term
centre.network.centreQr,Centre QR/session opens,Centras QR/session opens,Interface term
centre.network.candidateQr,Candidate QR opens on a tablet,Kandidatas QR opens on a tablet,Interface term
centre.network.examinerQr,Examiner QR opens on a tablet,Egzaminuotojas QR opens on a tablet,Interface term
centre.network.setup,Save/Load Centre Setup tested,Išsaugoti/Įkelti Centras Nustatymai tested,Interface term
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,Interface term
centre.network.export,Export download tested,Eksportuoti download tested,Interface term
qr.title,Centre / QR access pack,Centras / QR access pack,Interface term
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Kandidatas or Egzaminuotojas only their own Kandidatas QR or Egzaminuotojas QR link. Backend-loaded QR URLs appear after Įkelti/Išsaugoti Centras Nustatymai; demo fallback QR links are for local prototype testing only.,Interface term
qr.candidateLinks,Candidate QR links,Kandidatas QR links,Interface term
qr.examinerLinks,Examiner QR links,Egzaminuotojas QR links,Interface term
qr.copy,Copy link,Kopijuoti nuorodą,Interface term
common.scanQr,Scan QR,Nuskaityti QR,Interface term
common.loggedIn,Logged in,Logged in,Interface term
common.logout,Logout,Logout,Interface term
candidate.view.title,Candidate / Tablet login and workspace,Kandidatas / Planšetė login and workspace,Interface term
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidatas opens only their own QR workspace, confirms identity, then completes each exam section.",Interface term
candidate.qrAccess.title,Candidate QR access,Kandidatas QR access,Interface term
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Centras. This portal only shows the current Kandidatas workspace.,Interface term
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,Ne Kandidatas is logged in. Scan the personal Kandidatas QR issued by the Centras.,Interface term
examiner.view.title,Examiner / Landing page and Outdoor exercises,Egzaminuotojas / Landing page and Outdoor exercises,Interface term
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Egzaminuotojas logs in, confirms identity, sees assigned candidates and opens outdoor forms.",Interface term
examiner.qrAccess.title,Examiner QR access,Egzaminuotojas QR access,Interface term
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Egzaminuotojas QR issued by the Centras. This portal only shows assigned Kandidatas work.,Interface term
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,Ne Egzaminuotojas is logged in. Scan the personal Egzaminuotojas QR issued by the Centras.,Interface term
candidate.identity.confirm,Confirm identity,Confirm identity,Interface term
candidate.sections.open,Open section,Atidaryti section,Interface term
test.title,Written test,Written test,Interface term
test.noQuestions,No written test questions are available for this variant.,Ne written test klausimai are available for this variant.,Interface term
test.submit,Submit and close written test,Submit and close written test,Interface term
report.fieldNotes,Field notes,Field notes,Interface term
common.back,Back,Back,Interface term
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",Interface term
common.opened,Opened,Atidarytied,Interface term
common.closed,Closed,Uždarytid,Interface term
common.points,point(s),point(s),Interface term
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,Interface term
candidate.identity.name,Candidate name,Kandidatas name,Interface term
candidate.identity.examLevel,Exam level,Exam level,Interface term
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before opening exam sections.,Interface term
candidate.identity.confirmed,Identity confirmed,Identity confirmed,Interface term
candidate.landing.title,Candidate landing page,Kandidatas landing page,Interface term
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Peržiūrėti which sections are ready before opening work for this exam attempt.,Interface term
candidate.readiness.identity,Identity confirmed,Identity confirmed,Interface term
candidate.readiness.writtenTest,Written test available,Written test available,Interface term
candidate.readiness.report,Report section available,Ataskaita section available,Interface term
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,Interface term
candidate.section.closed,This section is closed.,This section is closed.,Interface term
candidate.section.open,This section is open.,This section is open.,Interface term
candidate.section.locked,This section is locked.,This section is locked.,Interface term
candidate.section.requestReopen,Request reopen,Request reopen,Interface term
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Interface term
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Centras to import/select a test package and save Centras Nustatymai.,Interface term
test.question,Question,Klausimas,Interface term
test.writeAnswer,Write your answer here,Write your answer here,Interface term
examiner.writtenReview.title,Written test review,Written test review,Interface term
examiner.writtenReview.variant,Variant,Variant,Interface term
examiner.writtenReview.correct,correct,correct,Interface term
examiner.writtenReview.incorrect,incorrect,incorrect,Interface term
examiner.writtenReview.unanswered,unanswered,unanswered,Interface term
examiner.writtenReview.manual,manual review,manual review,Interface term
examiner.writtenReview.candidateAnswer,Candidate answer,Kandidatas answer,Interface term
examiner.writtenReview.correctAnswer,Correct answer,Correct answer,Interface term
examiner.writtenReview.computedScore,Computed written score,Computed written score,Interface term
examiner.writtenReview.apply,Apply computed written score,Apply computed written score,Interface term
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only klausimai with a configured correctAtsakymas are auto-scored. Written atsakymai remain examiner-reviewed.,Interface term
examiner.reportReview.title,Consulting report review,Consulting report review,Interface term
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Peržiūrėti the candidate report draft, field notes, photos and section completeness before assigning the report score.",Interface term
examiner.reportReview.sections,sections,sections,Interface term
examiner.reportReview.photos,photos,photos,Interface term
examiner.reportReview.complete,complete,complete,Interface term
examiner.reportReview.filled,filled,filled,Interface term
examiner.reportReview.missing,missing,missing,Interface term
report.photoAdded,Photo added to the report draft.,Nuotrauka added to the report draft.,Interface term
report.photoError,Photo could not be loaded. Try another image.,Nuotrauka could not be loaded. Try another image.,Interface term
examiner.identity.title,Confirm Examiner identity,Confirm Egzaminuotojas identity,Interface term
examiner.identity.name,Examiner name,Egzaminuotojas name,Interface term
examiner.identity.confirmed,Identity confirmed,Identity confirmed,Interface term
examiner.identity.confirm,Confirm identity,Confirm identity,Interface term
examiner.worklist.title,Assigned Candidate worklist,Assigned Kandidatas worklist,Interface term
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Egzaminuotojas must complete the full outdoor form. Secondary Egzaminuotojas input is optional/supporting.,Interface term
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,Ne assigned Kandidatass are available for this Egzaminuotojas.,Interface term
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Centras to assign this Egzaminuotojas as primary or secondary, save Centras Nustatymai, then reopen the Egzaminuotojas QR session.",Interface term
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary examiner for this candidate,Interface term
examiner.role.primary,primary,primary,Interface term
examiner.role.secondary,secondary,secondary,Interface term
outdoor.backToLanding,Back to landing,Back to landing,Interface term
outdoor.candidateBinding,Candidate binding,Kandidatas binding,Interface term
outdoor.activeRecord,Active record,Active record,Interface term
outdoor.level,Level,Level,Interface term
outdoor.total,Outdoor total,Outdoor total,Interface term
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,Interface term
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Kandidatas prepares this on paper. Egzaminuotojas photographs it as a pilot/archive placeholder.,Interface term
outdoor.paperArchive.button,Photograph paper plan,Nuotraukagraph paper plan,Interface term
outdoor.paperArchive.photos,Archived photos,Archived photos,Interface term
outdoor.points,points,points,Interface term
outdoor.detail.title,Outdoor form detail,Outdoor form detail,Interface term
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between sections freely. Each question includes Pastabos / marking guidance.,Interface term
outdoor.pointsLabel,Points,Points,Interface term
outdoor.examinerNotes,Examiner notes / justification,Egzaminuotojas notes / justification,Interface term
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,Interface term
outdoor.mode.primary,primary - full form required,primary - full form required,Interface term
outdoor.mode.secondary,secondary - optional input,secondary - optional input,Interface term
outdoor.mode.unassigned,unassigned,unassigned,Interface term
outdoor.autosave,autosave to sync queue,autosave to sync queue,Interface term
scoring.title,Examiner / Candidate scoring and evaluation,Egzaminuotojas / Kandidatas scoring and evaluation,Interface term
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the candidate level.,Interface term
scoring.written,Written,Written,Interface term
scoring.outdoor,Outdoor,Outdoor,Interface term
scoring.report,Report,Ataskaita,Interface term
scoring.total,Total,Total,Interface term
scoring.percentage,Percentage,Percentage,Interface term
scoring.result,Result,Rezultatas,Interface term
scoring.pass,PASS,PASS,Interface term
scoring.notPassed,NOT PASSED,NOT PASSED,Interface term
scoring.generate,Generate Evaluation,Generate Evaluation,Interface term
scoring.loadPreview,Load Evaluation Preview,Įkelti Evaluation Preview,Interface term
scoring.loading,Loading...,Įkeltiing...,Interface term
scoring.downloadDraftExport,Download Draft Export (.xls),Download Juodraštis Eksportuoti (.xls),Interface term
scoring.exporting,Exporting...,Eksportuotiing...,Interface term
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Juodraštis Eksportuoti only — not the official VETcert evaluation template.,Interface term
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,Interface term
evaluation.preview.title,Evaluation preview,Evaluation preview,Interface term
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-loaded preview of the current Kandidatas evaluation data.,Interface term
evaluation.preview.written,Written,Written,Interface term
evaluation.preview.outdoor,Outdoor,Outdoor,Interface term
evaluation.preview.report,Report,Ataskaita,Interface term
evaluation.preview.total,Total,Total,Interface term
evaluation.preview.percentage,Percentage,Percentage,Interface term
evaluation.preview.result,Result,Rezultatas,Interface term
evaluation.preview.outdoorScores,Outdoor scores,Outdoor scores,Interface term
evaluation.preview.reportSummary,Report summary,Ataskaita summary,Interface term
evaluation.preview.hasReportDraft,Report draft,Ataskaita draft,Interface term
evaluation.preview.treesWithContent,Trees with content,Mediss with content,Interface term
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,Interface term
evaluation.preview.finalSectionsFilled,Final sections filled,Final sections filled,Interface term
evaluation.preview.photoPlaceholders,Photo placeholders,Nuotrauka placeholders,Interface term
evaluation.preview.submitted,Submitted,Submitted,Interface term
evaluation.preview.primaryScores,Primary scores,Primary scores,Interface term
evaluation.preview.secondaryScores,Secondary scores,Secondary scores,Interface term
evaluation.preview.yes,yes,yes,Interface term
evaluation.preview.no,no,no,Interface term
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Atidaryti delegated workspace,Interface term
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Atidaryti workspace using Centras QR received from Administratorius.,Interface term
centre.access.placeholder,Paste centre token,Paste centre token,Interface term
centre.access.open,Open centre workspace,Atidaryti centre workspace,Interface term
centre.access.prototypeToken,Prototype token,Prototype token,Interface term
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Download Centras Audit Paketas (.xls),Interface term
centre.setupPersistence.exporting,Exporting...,Eksportuotiing...,Interface term
centre.dataMode.backend,backend-loaded pilot data,backend-loaded pilot data,Interface term
centre.dataMode.demo,demo fallback data,demo fallback data,Interface term
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,Interface term
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,Interface term
centre.variants.import,Import tests,Importuoti tests,Interface term
centre.candidates.title,Candidate list,Kandidatas list,Interface term
centre.candidates.add,Add candidate,Add candidate,Interface term
centre.candidateDetails.id,Candidate ID,Kandidatas ID,Interface term
centre.candidateDetails.name,Name,Vardas,Interface term
centre.candidateDetails.level,Level,Level,Interface term
centre.examiners.title,Examiner list,Egzaminuotojas list,Interface term
centre.examiners.add,Add examiner,Add examiner,Interface term
centre.examinerDetails.id,ID,ID,Interface term
centre.examinerDetails.name,Name,Vardas,Interface term
centre.examinerDetails.email,Email,Email,Interface term
centre.assignments.title,Examiner assignments,Egzaminuotojas assignments,Interface term
centre.assignments.candidate,Candidate,Kandidatas,Interface term
centre.assignments.level,Level,Level,Interface term
centre.assignments.primary,Primary Examiner,Primary Egzaminuotojas,Interface term
centre.assignments.secondary,Secondary Examiner,Secondary Egzaminuotojas,Interface term
centre.workflow.title,Pilot workflow status,Pilot workflow status,Interface term
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.",Interface term
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,Interface term
centre.workflow.setupIssues,Centre Setup issue(s),Centras Nustatymai issue(s),Interface term
centre.workflow.candidates,candidates,candidates,Interface term
centre.workflow.examiners,examiners,examiners,Interface term
centre.workflow.assignments,assignments,assignments,Interface term
centre.workflow.testPackageImported,test package imported,test package imported,Interface term
centre.workflow.noTestPackage,no test package,no test package,Interface term
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Įkelti Centras Nustatymai to use backend-loaded pilot data; counts may reflect demo fallback state until then.,Interface term
centre.workflow.candidate,Candidate,Kandidatas,Interface term
centre.workflow.level,Level,Level,Interface term
centre.workflow.primaryExaminer,Primary Examiner,Primary Egzaminuotojas,Interface term
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Egzaminuotojas,Interface term
centre.workflow.identity,Identity,Identity,Interface term
centre.workflow.writtenTest,Written test,Written test,Interface term
centre.workflow.report,Report,Ataskaita,Interface term
centre.workflow.responses,Responses,Responses,Interface term
centre.workflow.outdoorScores,Outdoor scores,Outdoor scores,Interface term
centre.workflow.confirmed,confirmed,confirmed,Interface term
centre.workflow.notConfirmed,not confirmed,not confirmed,Interface term
centre.workflow.closedAt,Closed,Uždarytid,Interface term
centre.workflow.sections,sections,sections,Interface term
centre.workflow.photos,photos,photos,Interface term
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Atidaryti the Centras portal with a valid Centras QR session, then try again.",Interface term
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",Interface term
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Įkeltied Centras Nustatymai for exam event {event}.,Interface term
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Išsaugota Centras Nustatymai for exam event {event}.,Interface term
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centras Nustatymai could not be loaded. Check the session and try again.,Interface term
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centras Nustatymai could not be saved. Check the Centras session and try again.,Interface term
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Atidaryti the Centras portal with a valid Centras QR session before downloading the Audit Paketas.,Interface term
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Importuotiuota {variants} variants and {klausimai} klausimai. {questions},Interface term
status.testImport.failedWithMessage,Test import failed: {message},Testas import failed: {message},Interface term
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Testas import failed: the file could not be read.,Interface term
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Atidaryti this portal with a valid QR session before loading the evaluation preview.,Interface term
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reopen the Egzaminuotojas QR session and try again.,Interface term
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Atidaryti this portal with a valid QR session before downloading the Juodraštis Eksportuoti.,Interface term
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Juodraštis Eksportuoti is unavailable. Reopen the Egzaminuotojas QR session and try again.,Interface term
common.open,Open,Atidaryti,Interface term
common.close,Close,Uždaryti,Interface term
common.cancel,Cancel,Cancel,Interface term
common.ready,Ready,Paruošta,Interface term
app.heroTitle,Digital VETcert examination system,Digital VETcert examination system,Interface term
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,Interface term
qrScanner.scan,Scan {role} QR,Scan {role} QR,Interface term
admin.openExam.title,Admin / Open exam event,Administratorius / Atidaryti exam event,Interface term
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Administratorius sets centre, date, place and exam language, then sends centre access QR.",Interface term
admin.centre,Certification centre,Certification centre,Interface term
admin.examLanguage,Exam language,Exam language,Interface term
admin.examDate,Exam date,Exam date,Interface term
admin.place,Place,Place,Interface term
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit examination materials,Interface term
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four examination documents. Klausimass, sections, scoring and examiner guidance are edited here and saved as the final examination package.",Interface term
admin.authoring.panelTitle,Create/edit examination materials,Create/edit examination materials,Interface term
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Redaguoti the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Interface term
admin.authoring.loadVet,Load .vet,Įkelti .vet,Interface term
admin.authoring.printPdf,Print / PDF,Print / PDF,Interface term
admin.authoring.createPackage,Create package,Create package,Interface term
admin.authoring.advancedTools,Advanced tools,Advanced tools,Interface term
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,Interface term
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,Interface term
admin.authoring.openCurrent,Open current materials,Atidaryti current materials,Interface term
admin.authoring.openDraft,Open working draft,Atidaryti working draft,Interface term
admin.authoring.saveDraft,Save draft,Išsaugoti draft,Interface term
admin.authoring.saveAdminJson,Save as Admin JSON package,Išsaugoti as Administratorius JSON package,Interface term
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest package from Administratorius workflow,Interface term
admin.authoring.listDrafts,List all drafts,List all drafts,Interface term
admin.authoring.importJson,Import JSON,Importuoti JSON,Interface term
admin.authoring.exportDraft,Export draft,Eksportuoti draft,Interface term
admin.authoring.exportPackageJson,Export package JSON,Eksportuoti package JSON,Interface term
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.",Interface term
admin.authoring.savedDrafts,Saved structured drafts,Išsaugota structured drafts,Interface term
admin.authoring.selectDraft,Select draft...,Select draft...,Interface term
admin.authoring.openDraftShort,Open draft,Atidaryti draft,Interface term
admin.authoring.itemsLabel,items,elementai,Interface term
admin.authoring.questionsLabel,questions,klausimai,Interface term
admin.authoring.pointsLabel,marks,balai,Interface term
admin.authoring.manualReviewTitle,Manual document review,Manual document review,Interface term
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Redaguoti the preface, candidate introduction, sections and klausimai. This structure is the source for the JSON package and print/PDF.",Interface term
admin.authoring.filterSection,Filter section,Filter section,Interface term
admin.authoring.allSections,All sections,Visi sections,Interface term
admin.authoring.documentTitle,Document title,Document title,Interface term
admin.authoring.prefaceLabel,Preface / document notes,Preface / document notes,Interface term
admin.authoring.candidateIntroLabel,Introductory text for candidates,Introductory text for candidates,Interface term
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Skyriuss are created from the Skyrius field in individual klausimai.,Interface term
admin.authoring.addItem,+ item,+ item,Interface term
admin.authoring.noItems,This document has no items yet.,This document has no elementai yet.,Interface term
admin.authoring.noSectionItems,This section has no items yet.,This section has no elementai yet.,Interface term
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,Ne active package is loaded. Use Įkelti .vet or create a new package.,Interface term
admin.authoring.itemEditorTitle,Edit item,Redaguoti item,Interface term
admin.authoring.idLabel,ID,ID,Interface term
admin.authoring.numberLabel,Number,Numeris,Interface term
admin.authoring.typeLabel,Type,Tipas,Interface term
admin.authoring.maxScoreLabel,Maximum score,Maximum score,Interface term
admin.authoring.sectionFieldLabel,Section,Skyrius,Interface term
admin.authoring.themeLabel,Theme,Tema,Interface term
admin.authoring.questionBodyLabel,Question body,Klausimas body,Interface term
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Klausimas body / candidate text,Interface term
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Egzaminuotojas help / scoring guidance,Interface term
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Options, one per line, e.g. A. ...",Interface term
admin.authoring.correctAnswerLabel,Correct answer,Correct answer,Interface term
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Egzaminuotojas help / correct answer / scoring guidance,Interface term
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered section,Interface term
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were saved locally.,Interface term
admin.authoring.autosaveFailed,Local autosave failed.,Local autosave failed.,Interface term
common.duplicate,Duplicate,Dubliuoti,Interface term
common.delete,Delete,Ištrinti,Interface term
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and examination language, then sends the Centras access link / QR.",Interface term
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,Interface term
