key,source,target,status
centre.run.backend,backend-loaded pilot data,backend-naložied pilot data,draft
centre.run.demo,demo fallback data,demo fallback data,draft
centre.run.saved,Saved / no local changes,Shranid / no local changes,draft
centre.run.unsaved,Unsaved local changes,Unshranid local changes,draft
centre.run.imported,Imported,Uvozied,draft
centre.run.missing,Missing,Missing,draft
centre.run.qrReady,Ready after setup is saved and backend-loaded,Pripravljeno after nastavitev is shranid and backend-naložied,draft
centre.run.review,Review guardrails,Review guardrails,draft
centre.network.title,Network readiness checklist,Network readiness checklist,draft
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Kandidat QR and Izpitiner QR links during a pilot session.,draft
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,draft
centre.network.internet,Internet access works on tablets,Internet access works on tablets,draft
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL odpris on tablets,draft
centre.network.centreQr,Centre QR/session opens,Centre QR/session odpris,draft
centre.network.candidateQr,Candidate QR opens on a tablet,Kandidat QR odpris on a tablet,draft
centre.network.examinerQr,Examiner QR opens on a tablet,Izpitiner QR odpris on a tablet,draft
centre.network.setup,Save/Load Centre Setup tested,Shrani/Naloži Centre Nastavitev tested,draft
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,draft
centre.network.export,Export download tested,Izvozi downnaloži tested,draft
qr.title,Centre / QR access pack,Centre / QR access pack,draft
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Kandidat or Izpitiner only their own Kandidat QR or Izpitiner QR link. Backend-naložied QR URLs appear after Naloži/Shrani Centre Nastavitev; demo fallback QR links are for local prototype testing only.,draft
qr.candidateLinks,Candidate QR links,Kandidat QR links,draft
qr.examinerLinks,Examiner QR links,Izpitiner QR links,draft
qr.copy,Copy link,Copy link,draft
common.scanQr,Scan QR,Scan QR,draft
common.loggedIn,Logged in,Logged in,draft
common.logout,Logout,Logout,draft
candidate.view.title,Candidate / Tablet login and workspace,Kandidat / Tablet login and workspace,draft
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidat odpris only their own QR workspace, confirms identity, then completes each izpit sekcija.",draft
candidate.qrAccess.title,Candidate QR access,Kandidat QR access,draft
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Centre. This portal only shows the trenutno Kandidat workspace.,draft
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,No Kandidat is logged in. Scan the personal Kandidat QR issued by the Centre.,draft
examiner.view.title,Examiner / Landing page and Outdoor exercises,Izpitiner / Landing page and Outdoor exercises,draft
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Izpitiner logs in, confirms identity, sees assigned kandidats and odpris outdoor forms.",draft
examiner.qrAccess.title,Examiner QR access,Izpitiner QR access,draft
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Izpitiner QR issued by the Centre. This portal only shows assigned Kandidat work.,draft
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,No Izpitiner is logged in. Scan the personal Izpitiner QR issued by the Centre.,draft
candidate.identity.confirm,Confirm identity,Confirm identity,draft
candidate.sections.open,Open section,Odpri sekcija,draft
test.title,Written test,Written test,draft
test.noQuestions,No written test questions are available for this variant.,No written test vprašanjes are available for this variant.,draft
test.submit,Submit and close written test,Submit and close written test,draft
report.fieldNotes,Field notes,Field notes,draft
common.back,Back,Back,draft
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",draft
common.opened,Opened,Odpried,draft
common.closed,Closed,Closed,draft
common.points,point(s),point(s),draft
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,draft
candidate.identity.name,Candidate name,Kandidat name,draft
candidate.identity.examLevel,Exam level,Izpit level,draft
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before odpriing izpit sekcijas.,draft
candidate.identity.confirmed,Identity confirmed,Identity confirmed,draft
candidate.landing.title,Candidate landing page,Kandidat landing page,draft
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Review which sekcijas are pripravljeno before odpriing work for this izpit attempt.,draft
candidate.readiness.identity,Identity confirmed,Identity confirmed,draft
candidate.readiness.writtenTest,Written test available,Written test available,draft
candidate.readiness.report,Report section available,Poročilo sekcija available,draft
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,draft
candidate.section.closed,This section is closed.,This sekcija is closed.,draft
candidate.section.open,This section is open.,This sekcija is odpri.,draft
candidate.section.locked,This section is locked.,This sekcija is locked.,draft
candidate.section.requestReopen,Request reopen,Request reodpri,draft
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Autoshranid to the sync queue. Final submit closes this sekcija.,draft
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Centre to uvozi/select a test paket and shrani Centre Nastavitev.,draft
test.question,Question,Vprašanje,draft
test.writeAnswer,Write your answer here,Write your odgovor here,draft
examiner.writtenReview.title,Written test review,Written test review,draft
examiner.writtenReview.variant,Variant,Variant,draft
examiner.writtenReview.correct,correct,correct,draft
examiner.writtenReview.incorrect,incorrect,incorrect,draft
examiner.writtenReview.unanswered,unanswered,unodgovored,draft
examiner.writtenReview.manual,manual review,manual review,draft
examiner.writtenReview.candidateAnswer,Candidate answer,Kandidat odgovor,draft
examiner.writtenReview.correctAnswer,Correct answer,Pravilen odgovor,draft
examiner.writtenReview.computedScore,Computed written score,Computed written točke,draft
examiner.writtenReview.apply,Apply computed written score,Apply computed written točke,draft
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only vprašanjes with a configured correctOdgovor are auto-točked. Written odgovors remain izpitiner-reviewed.,draft
examiner.reportReview.title,Consulting report review,Consulting poročilo review,draft
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Review the kandidat poročilo draft, field notes, fotografijas and sekcija completeness before assigning the poročilo točke.",draft
examiner.reportReview.sections,sections,sekcijas,draft
examiner.reportReview.photos,photos,fotografijas,draft
examiner.reportReview.complete,complete,complete,draft
examiner.reportReview.filled,filled,filled,draft
examiner.reportReview.missing,missing,missing,draft
report.photoAdded,Photo added to the report draft.,Fotografija added to the poročilo draft.,draft
report.photoError,Photo could not be loaded. Try another image.,Fotografija could not be naložied. Try another image.,draft
examiner.identity.title,Confirm Examiner identity,Confirm Izpitiner identity,draft
examiner.identity.name,Examiner name,Izpitiner name,draft
examiner.identity.confirmed,Identity confirmed,Identity confirmed,draft
examiner.identity.confirm,Confirm identity,Confirm identity,draft
examiner.worklist.title,Assigned Candidate worklist,Assigned Kandidat worklist,draft
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Izpitiner must complete the full outdoor form. Secondary Izpitiner input is optional/supporting.,draft
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,No assigned Kandidats are available for this Izpitiner.,draft
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Centre to assign this Izpitiner as primary or secondary, shrani Centre Nastavitev, then reodpri the Izpitiner QR session.",draft
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary izpitiner for this kandidat,draft
examiner.role.primary,primary,primary,draft
examiner.role.secondary,secondary,secondary,draft
outdoor.backToLanding,Back to landing,Back to landing,draft
outdoor.candidateBinding,Candidate binding,Kandidat binding,draft
outdoor.activeRecord,Active record,Active record,draft
outdoor.level,Level,Level,draft
outdoor.total,Outdoor total,Outdoor total,draft
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,draft
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Kandidat prepares this on paper. Izpitiner fotografijagraphs it as a pilot/archive placeholder.,draft
outdoor.paperArchive.button,Photograph paper plan,Fotografijagraph paper plan,draft
outdoor.paperArchive.photos,Archived photos,Archived fotografijas,draft
outdoor.points,points,points,draft
outdoor.detail.title,Outdoor form detail,Outdoor form detail,draft
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between sekcijas freely. Each vprašanje includes Notes / marking guidance.,draft
outdoor.pointsLabel,Points,Points,draft
outdoor.examinerNotes,Examiner notes / justification,Izpitiner notes / justification,draft
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,draft
outdoor.mode.primary,primary - full form required,primary - full form required,draft
outdoor.mode.secondary,secondary - optional input,secondary - optional input,draft
outdoor.mode.unassigned,unassigned,unassigned,draft
outdoor.autosave,autosave to sync queue,autoshrani to sync queue,draft
scoring.title,Examiner / Candidate scoring and evaluation,Izpitiner / Kandidat scoring and evaluation,draft
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the kandidat level.,draft
scoring.written,Written,Written,draft
scoring.outdoor,Outdoor,Outdoor,draft
scoring.report,Report,Poročilo,draft
scoring.total,Total,Total,draft
scoring.percentage,Percentage,Percentage,draft
scoring.result,Result,Result,draft
scoring.pass,PASS,PASS,draft
scoring.notPassed,NOT PASSED,NOT PASSED,draft
scoring.generate,Generate Evaluation,Generate Evaluation,draft
scoring.loadPreview,Load Evaluation Preview,Naloži Evaluation Preview,draft
scoring.loading,Loading...,Naložiing...,draft
scoring.downloadDraftExport,Download Draft Export (.xls),Downnaloži Draft Izvozi (.xls),draft
scoring.exporting,Exporting...,Izvoziing...,draft
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Draft Izvozi only — not the official VETcert evaluation template.,draft
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,draft
evaluation.preview.title,Evaluation preview,Evaluation preview,draft
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-naložied preview of the trenutno Kandidat evaluation data.,draft
evaluation.preview.written,Written,Written,draft
evaluation.preview.outdoor,Outdoor,Outdoor,draft
evaluation.preview.report,Report,Poročilo,draft
evaluation.preview.total,Total,Total,draft
evaluation.preview.percentage,Percentage,Percentage,draft
evaluation.preview.result,Result,Result,draft
evaluation.preview.outdoorScores,Outdoor scores,Outdoor točkes,draft
evaluation.preview.reportSummary,Report summary,Poročilo summary,draft
evaluation.preview.hasReportDraft,Report draft,Poročilo draft,draft
evaluation.preview.treesWithContent,Trees with content,Drevos with content,draft
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,draft
evaluation.preview.finalSectionsFilled,Final sections filled,Final sekcijas filled,draft
evaluation.preview.photoPlaceholders,Photo placeholders,Fotografija placeholders,draft
evaluation.preview.submitted,Submitted,Submitted,draft
evaluation.preview.primaryScores,Primary scores,Primary točkes,draft
evaluation.preview.secondaryScores,Secondary scores,Secondary točkes,draft
evaluation.preview.yes,yes,yes,draft
evaluation.preview.no,no,no,draft
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Odpri delegated workspace,draft
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Odpri workspace using Centre QR received from Admin.,draft
centre.access.placeholder,Paste centre token,Paste centre token,draft
centre.access.open,Open centre workspace,Odpri centre workspace,draft
centre.access.prototypeToken,Prototype token,Prototype token,draft
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Downnaloži Centre Audit Paket (.xls),draft
centre.setupPersistence.exporting,Exporting...,Izvoziing...,draft
centre.dataMode.backend,backend-loaded pilot data,backend-naložied pilot data,draft
centre.dataMode.demo,demo fallback data,demo fallback data,draft
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,draft
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,draft
centre.variants.import,Import tests,Uvozi teste,draft
centre.candidates.title,Candidate list,Kandidat list,draft
centre.candidates.add,Add candidate,Add kandidat,draft
centre.candidateDetails.id,Candidate ID,Kandidat ID,draft
centre.candidateDetails.name,Name,Ime,draft
centre.candidateDetails.level,Level,Level,draft
centre.examiners.title,Examiner list,Izpitiner list,draft
centre.examiners.add,Add examiner,Add izpitiner,draft
centre.examinerDetails.id,ID,ID,draft
centre.examinerDetails.name,Name,Ime,draft
centre.examinerDetails.email,Email,Email,draft
centre.assignments.title,Examiner assignments,Izpitiner assignments,draft
centre.assignments.candidate,Candidate,Kandidat,draft
centre.assignments.level,Level,Level,draft
centre.assignments.primary,Primary Examiner,Primary Izpitiner,draft
centre.assignments.secondary,Secondary Examiner,Secondary Izpitiner,draft
centre.workflow.title,Pilot workflow status,Pilot workflow status,draft
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across nastavitev, assignments, kandidat sekcijas, responses, poročilo drafts and outdoor scoring.",draft
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,draft
centre.workflow.setupIssues,Centre Setup issue(s),Centre Nastavitev issue(s),draft
centre.workflow.candidates,candidates,kandidats,draft
centre.workflow.examiners,examiners,izpitiners,draft
centre.workflow.assignments,assignments,assignments,draft
centre.workflow.testPackageImported,test package imported,test paket uvozied,draft
centre.workflow.noTestPackage,no test package,no test paket,draft
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Naloži Centre Nastavitev to use backend-naložied pilot data; counts may reflect demo fallback state until then.,draft
centre.workflow.candidate,Candidate,Kandidat,draft
centre.workflow.level,Level,Level,draft
centre.workflow.primaryExaminer,Primary Examiner,Primary Izpitiner,draft
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Izpitiner,draft
centre.workflow.identity,Identity,Identity,draft
centre.workflow.writtenTest,Written test,Written test,draft
centre.workflow.report,Report,Poročilo,draft
centre.workflow.responses,Responses,Responses,draft
centre.workflow.outdoorScores,Outdoor scores,Outdoor točkes,draft
centre.workflow.confirmed,confirmed,confirmed,draft
centre.workflow.notConfirmed,not confirmed,not confirmed,draft
centre.workflow.closedAt,Closed,Closed,draft
centre.workflow.sections,sections,sekcijas,draft
centre.workflow.photos,photos,fotografijas,draft
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Odpri the Centre portal with a valid Centre QR session, then try again.",draft
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",draft
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Naložied Centre Nastavitev for izpit event {event}.,draft
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Shranid Centre Nastavitev for izpit event {event}.,draft
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centre Nastavitev could not be naložied. Check the session and try again.,draft
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centre Nastavitev could not be shranid. Check the Centre session and try again.,draft
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Odpri the Centre portal with a valid Centre QR session before downnaložiing the Audit Paket.,draft
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Uvozied {variants} variants and {vprašanjes} vprašanjes.,draft
status.testImport.failedWithMessage,Test import failed: {message},Test uvozi failed: {message},draft
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Test uvozi failed: the file could not be read.,draft
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Odpri this portal with a valid QR session before naložiing the evaluation preview.,draft
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reodpri the Izpitiner QR session and try again.,draft
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Odpri this portal with a valid QR session before downnaložiing the Draft Izvozi.,draft
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Draft Izvozi is unavailable. Reodpri the Izpitiner QR session and try again.,draft
common.open,Open,Odpri,draft
common.close,Close,Zapri,draft
common.cancel,Cancel,Prekliči,draft
common.ready,Ready,Pripravljeno,draft
app.heroTitle,Digital VETcert examination system,Digital VETcert izpitination system,draft
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,draft
qrScanner.scan,Scan {role} QR,Scan {role} QR,draft
admin.openExam.title,Admin / Open exam event,Admin / Odpri izpit event,draft
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Admin sets centre, date, place and izpit jezik, then sends centre access QR.",draft
admin.centre,Certification centre,Certification centre,draft
admin.examLanguage,Exam language,Izpit jezik,draft
admin.examDate,Exam date,Izpit date,draft
admin.place,Place,Place,draft
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit izpitination materials,draft
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four izpitination documents. Vprašanjes, sekcijas, scoring and izpitiner guidance are edited here and shranid as the final izpitination paket.",draft
admin.authoring.panelTitle,Create/edit examination materials,Create/edit izpitination materials,draft
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Edit the four source izpitination documents. These data create the izpitination paket for the system and the print/PDF document version.,draft
admin.authoring.loadVet,Load .vet,Naloži .vet,draft
admin.authoring.printPdf,Print / PDF,Print / PDF,draft
admin.authoring.createPackage,Create package,Create paket,draft
admin.authoring.advancedTools,Advanced tools,Napredna orodja,draft
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,draft
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,draft
admin.authoring.openCurrent,Open current materials,Odpri trenutno materials,draft
admin.authoring.openDraft,Open working draft,Odpri working draft,draft
admin.authoring.saveDraft,Save draft,Shrani draft,draft
admin.authoring.saveAdminJson,Save as Admin JSON package,Shrani as Admin JSON paket,draft
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest paket from Admin workflow,draft
admin.authoring.listDrafts,List all drafts,List all drafts,draft
admin.authoring.importJson,Import JSON,Uvozi JSON,draft
admin.authoring.exportDraft,Export draft,Izvozi draft,draft
admin.authoring.exportPackageJson,Export package JSON,Izvozi paket JSON,draft
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine izpit preparation, use the main buttons above.",draft
admin.authoring.savedDrafts,Saved structured drafts,Shranid structured drafts,draft
admin.authoring.selectDraft,Select draft...,Select draft...,draft
admin.authoring.openDraftShort,Open draft,Odpri draft,draft
admin.authoring.itemsLabel,items,items,draft
admin.authoring.questionsLabel,questions,vprašanjes,draft
admin.authoring.pointsLabel,marks,točke,draft
admin.authoring.manualReviewTitle,Manual document review,Ročni pregled dokumenta,draft
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Edit the preface, kandidat introduction, sekcijas and vprašanjes. This structure is the source for the JSON paket and print/PDF.",draft
admin.authoring.filterSection,Filter section,Filtriraj sekcijo,draft
admin.authoring.allSections,All sections,Vse sekcije,draft
admin.authoring.documentTitle,Document title,Naslov dokumenta,draft
admin.authoring.prefaceLabel,Preface / document notes,Predgovor / opombe dokumenta,draft
admin.authoring.candidateIntroLabel,Introductory text for candidates,Uvodno besedilo za kandidate,draft
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Sekcijas are created from the Sekcija field in individual vprašanjes.,draft
admin.authoring.addItem,+ item,+ postavka,draft
admin.authoring.noItems,This document has no items yet.,Ta dokument še nima postavk.,draft
admin.authoring.noSectionItems,This section has no items yet.,Ta sekcija še nima postavk.,draft
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,No active paket is naložied. Use Naloži .vet or create a new paket.,draft
admin.authoring.itemEditorTitle,Edit item,Uredi postavko,draft
admin.authoring.idLabel,ID,ID,draft
admin.authoring.numberLabel,Number,Številka,draft
admin.authoring.typeLabel,Type,Tip,draft
admin.authoring.maxScoreLabel,Maximum score,Največje število točk,draft
admin.authoring.sectionFieldLabel,Section,Sekcija,draft
admin.authoring.themeLabel,Theme,Tema,draft
admin.authoring.questionBodyLabel,Question body,Besedilo vprašanja,draft
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Vprašanje body / kandidat besedilo,draft
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Izpitiner help / scoring guidance,draft
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Možnosti, ena v vrstici, npr. A. ...",draft
admin.authoring.correctAnswerLabel,Correct answer,Pravilen odgovor,draft
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Izpitiner help / correct odgovor / scoring guidance,draft
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered sekcija,draft
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were shranid locally.,draft
admin.authoring.autosaveFailed,Local autosave failed.,Local autoshrani failed.,draft
common.duplicate,Duplicate,Podvoji,draft
common.delete,Delete,Izbriši,draft
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and izpitination jezik, then sends the Centre access link / QR.",draft
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,draft
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Izpitination content translation is controlled by the paket created in sekcija A.,draft
admin.centreAccess.title,Centre access link / QR,Centre access link / QR,draft
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,draft
admin.centreAccess.scan,Scan centre QR,Scan centre QR,draft
admin.multilingual.title,Admin / Multilingual layer,Admin / večjezična plast,draft
admin.multilingual.subtitle,UI translations are managed separately from exam content.,UI translations are managed separately from izpit content.,draft
admin.multilingual.sourceTerms,EN source + national terms,EN source + national terms,draft
admin.multilingual.needsReview,needs review,needs review,draft
status.openedForCentre,Opened for Centre,Odpried for Centre,draft
audit.centreAccessSent,Centre access link sent,Centre access link sent,draft
status.testImport.loadedStoredFull,Loaded stored test package with {variants} variant(s) and {questions} question(s).,Naložied stored test paket with {variants} variant(s) and {vprašanjes} vprašanje(s).,draft
status.testImport.loadedStored,Loaded stored test package.,Naložied stored test paket.,draft
status.centreAuditExport.unavailable,The Centre Audit Package requires a valid Centre session. Reopen the Centre QR and try again.,The Centre Audit Paket requires a valid Centre session. Reodpri the Centre QR and try again.,draft
app.mvpPrototype,Full workflow,Full workflow,draft
app.offlineFirst,offline-first,offline-first,draft
common.loading,Loading...,Naložiing...,draft
