key,source,target,status
centre.run.qrReady,Ready after setup is saved and backend-loaded,Gotowe after konfiguracja is zapiszd and backend-wczytajed,draft
centre.run.review,Review guardrails,Review guardrails,draft
centre.network.title,Network readiness checklist,Network readiness checklist,draft
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Kandydat QR and Egzamininer QR links during a pilot session.,draft
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,draft
centre.network.internet,Internet access works on tablets,Internet access works on tablets,draft
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL otwórzs on tablets,draft
centre.network.centreQr,Centre QR/session opens,Centre QR/session otwórzs,draft
centre.network.candidateQr,Candidate QR opens on a tablet,Kandydat QR otwórzs on a tablet,draft
centre.network.examinerQr,Examiner QR opens on a tablet,Egzamininer QR otwórzs on a tablet,draft
centre.network.setup,Save/Load Centre Setup tested,Zapisz/Wczytaj Centre Konfiguracja tested,draft
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,draft
centre.network.export,Export download tested,Eksportuj downwczytaj tested,draft
qr.title,Centre / QR access pack,Centre / QR access pack,draft
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Kandydat or Egzamininer only their own Kandydat QR or Egzamininer QR link. Backend-wczytajed QR URLs appear after Wczytaj/Zapisz Centre Konfiguracja; demo fallback QR links are for local prototype testing only.,draft
qr.candidateLinks,Candidate QR links,Kandydat QR links,draft
qr.examinerLinks,Examiner QR links,Egzamininer QR links,draft
qr.copy,Copy link,Copy link,draft
common.scanQr,Scan QR,Scan QR,draft
common.loggedIn,Logged in,Logged in,draft
common.logout,Logout,Logout,draft
candidate.view.title,Candidate / Tablet login and workspace,Kandydat / Tablet login and workspace,draft
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandydat otwórzs only their own QR workspace, confirms identity, then completes each egzamin sekcja.",draft
candidate.qrAccess.title,Candidate QR access,Kandydat QR access,draft
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Centre. This portal only shows the aktualny Kandydat workspace.,draft
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,No Kandydat is logged in. Scan the personal Kandydat QR issued by the Centre.,draft
examiner.view.title,Examiner / Landing page and Outdoor exercises,Egzamininer / Landing page and Outdoor exercises,draft
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Egzamininer logs in, confirms identity, sees assigned kandydats and otwórzs outdoor forms.",draft
examiner.qrAccess.title,Examiner QR access,Egzamininer QR access,draft
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Egzamininer QR issued by the Centre. This portal only shows assigned Kandydat work.,draft
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,No Egzamininer is logged in. Scan the personal Egzamininer QR issued by the Centre.,draft
candidate.identity.confirm,Confirm identity,Confirm identity,draft
candidate.sections.open,Open section,Otwórz sekcja,draft
test.title,Written test,Written test,draft
test.noQuestions,No written test questions are available for this variant.,No written test pytanies are available for this variant.,draft
test.submit,Submit and close written test,Submit and close written test,draft
report.fieldNotes,Field notes,Field notes,draft
common.back,Back,Back,draft
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",draft
common.opened,Opened,Otwórzed,draft
common.closed,Closed,Closed,draft
common.points,point(s),point(s),draft
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,draft
candidate.identity.name,Candidate name,Kandydat name,draft
candidate.identity.examLevel,Exam level,Egzamin level,draft
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before otwórzing egzamin sekcjas.,draft
candidate.identity.confirmed,Identity confirmed,Identity confirmed,draft
candidate.landing.title,Candidate landing page,Kandydat landing page,draft
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Review which sekcjas are gotowe before otwórzing work for this egzamin attempt.,draft
candidate.readiness.identity,Identity confirmed,Identity confirmed,draft
candidate.readiness.writtenTest,Written test available,Written test available,draft
candidate.readiness.report,Report section available,Raport sekcja available,draft
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,draft
candidate.section.closed,This section is closed.,This sekcja is closed.,draft
candidate.section.open,This section is open.,This sekcja is otwórz.,draft
candidate.section.locked,This section is locked.,This sekcja is locked.,draft
candidate.section.requestReopen,Request reopen,Request reotwórz,draft
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Autozapiszd to the sync queue. Final submit closes this sekcja.,draft
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Centre to importuj/select a test pakiet and zapisz Centre Konfiguracja.,draft
test.question,Question,Pytanie,draft
test.writeAnswer,Write your answer here,Write your odpowiedź here,draft
examiner.writtenReview.title,Written test review,Written test review,draft
examiner.writtenReview.variant,Variant,Variant,draft
examiner.writtenReview.correct,correct,correct,draft
examiner.writtenReview.incorrect,incorrect,incorrect,draft
examiner.writtenReview.unanswered,unanswered,unodpowiedźed,draft
examiner.writtenReview.manual,manual review,manual review,draft
examiner.writtenReview.candidateAnswer,Candidate answer,Kandydat odpowiedź,draft
examiner.writtenReview.correctAnswer,Correct answer,Prawidłowa odpowiedź,draft
examiner.writtenReview.computedScore,Computed written score,Computed written wynik,draft
examiner.writtenReview.apply,Apply computed written score,Apply computed written wynik,draft
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only pytanies with a configured correctOdpowiedź are auto-wynikd. Written odpowiedźs remain egzamininer-reviewed.,draft
examiner.reportReview.title,Consulting report review,Consulting raport review,draft
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Review the kandydat raport draft, field notes, zdjęcies and sekcja completeness before assigning the raport wynik.",draft
examiner.reportReview.sections,sections,sekcjas,draft
examiner.reportReview.photos,photos,zdjęcies,draft
examiner.reportReview.complete,complete,complete,draft
examiner.reportReview.filled,filled,filled,draft
examiner.reportReview.missing,missing,missing,draft
report.photoAdded,Photo added to the report draft.,Zdjęcie added to the raport draft.,draft
report.photoError,Photo could not be loaded. Try another image.,Zdjęcie could not be wczytajed. Try another image.,draft
examiner.identity.title,Confirm Examiner identity,Confirm Egzamininer identity,draft
examiner.identity.name,Examiner name,Egzamininer name,draft
examiner.identity.confirmed,Identity confirmed,Identity confirmed,draft
examiner.identity.confirm,Confirm identity,Confirm identity,draft
examiner.worklist.title,Assigned Candidate worklist,Assigned Kandydat worklist,draft
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Egzamininer must complete the full outdoor form. Secondary Egzamininer input is optional/supporting.,draft
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,No assigned Kandydats are available for this Egzamininer.,draft
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Centre to assign this Egzamininer as primary or secondary, zapisz Centre Konfiguracja, then reotwórz the Egzamininer QR session.",draft
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary egzamininer for this kandydat,draft
examiner.role.primary,primary,primary,draft
examiner.role.secondary,secondary,secondary,draft
outdoor.backToLanding,Back to landing,Back to landing,draft
outdoor.candidateBinding,Candidate binding,Kandydat binding,draft
outdoor.activeRecord,Active record,Active record,draft
outdoor.level,Level,Level,draft
outdoor.total,Outdoor total,Outdoor total,draft
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,draft
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Kandydat prepares this on paper. Egzamininer zdjęciegraphs it as a pilot/archive placeholder.,draft
outdoor.paperArchive.button,Photograph paper plan,Zdjęciegraph paper plan,draft
outdoor.paperArchive.photos,Archived photos,Archived zdjęcies,draft
outdoor.points,points,points,draft
outdoor.detail.title,Outdoor form detail,Outdoor form detail,draft
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between sekcjas freely. Each pytanie includes Notes / marking guidance.,draft
outdoor.pointsLabel,Points,Points,draft
outdoor.examinerNotes,Examiner notes / justification,Egzamininer notes / justification,draft
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,draft
outdoor.mode.primary,primary - full form required,primary - full form required,draft
outdoor.mode.secondary,secondary - optional input,secondary - optional input,draft
outdoor.mode.unassigned,unassigned,unassigned,draft
outdoor.autosave,autosave to sync queue,autozapisz to sync queue,draft
scoring.title,Examiner / Candidate scoring and evaluation,Egzamininer / Kandydat scoring and evaluation,draft
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the kandydat level.,draft
scoring.written,Written,Written,draft
scoring.outdoor,Outdoor,Outdoor,draft
scoring.report,Report,Raport,draft
scoring.total,Total,Total,draft
scoring.percentage,Percentage,Percentage,draft
scoring.result,Result,Result,draft
scoring.pass,PASS,PASS,draft
scoring.notPassed,NOT PASSED,NOT PASSED,draft
scoring.generate,Generate Evaluation,Generate Evaluation,draft
scoring.loadPreview,Load Evaluation Preview,Wczytaj Evaluation Preview,draft
scoring.loading,Loading...,Wczytajing...,draft
scoring.downloadDraftExport,Download Draft Export (.xls),Downwczytaj Draft Eksportuj (.xls),draft
scoring.exporting,Exporting...,Eksportujing...,draft
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Draft Eksportuj only — not the official VETcert evaluation template.,draft
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,draft
evaluation.preview.title,Evaluation preview,Evaluation preview,draft
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-wczytajed preview of the aktualny Kandydat evaluation data.,draft
evaluation.preview.written,Written,Written,draft
evaluation.preview.outdoor,Outdoor,Outdoor,draft
evaluation.preview.report,Report,Raport,draft
evaluation.preview.total,Total,Total,draft
evaluation.preview.percentage,Percentage,Percentage,draft
evaluation.preview.result,Result,Result,draft
evaluation.preview.outdoorScores,Outdoor scores,Outdoor wyniks,draft
evaluation.preview.reportSummary,Report summary,Raport summary,draft
evaluation.preview.hasReportDraft,Report draft,Raport draft,draft
evaluation.preview.treesWithContent,Trees with content,Drzewos with content,draft
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,draft
evaluation.preview.finalSectionsFilled,Final sections filled,Final sekcjas filled,draft
evaluation.preview.photoPlaceholders,Photo placeholders,Zdjęcie placeholders,draft
evaluation.preview.submitted,Submitted,Submitted,draft
evaluation.preview.primaryScores,Primary scores,Primary wyniks,draft
evaluation.preview.secondaryScores,Secondary scores,Secondary wyniks,draft
evaluation.preview.yes,yes,yes,draft
evaluation.preview.no,no,no,draft
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Otwórz delegated workspace,draft
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Otwórz workspace using Centre QR received from Admin.,draft
centre.access.placeholder,Paste centre token,Paste centre token,draft
centre.access.open,Open centre workspace,Otwórz centre workspace,draft
centre.access.prototypeToken,Prototype token,Prototype token,draft
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Downwczytaj Centre Audit Pakiet (.xls),draft
centre.setupPersistence.exporting,Exporting...,Eksportujing...,draft
centre.dataMode.backend,backend-loaded pilot data,backend-wczytajed pilot data,draft
centre.dataMode.demo,demo fallback data,demo fallback data,draft
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,draft
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,draft
centre.variants.import,Import tests,Importuj testy,draft
centre.candidates.title,Candidate list,Kandydat list,draft
centre.candidates.add,Add candidate,Add kandydat,draft
centre.candidateDetails.id,Candidate ID,Kandydat ID,draft
centre.candidateDetails.name,Name,Imię i nazwisko,draft
centre.candidateDetails.level,Level,Level,draft
centre.examiners.title,Examiner list,Egzamininer list,draft
centre.examiners.add,Add examiner,Add egzamininer,draft
centre.examinerDetails.id,ID,ID,draft
centre.examinerDetails.name,Name,Imię i nazwisko,draft
centre.examinerDetails.email,Email,Email,draft
centre.assignments.title,Examiner assignments,Egzamininer assignments,draft
centre.assignments.candidate,Candidate,Kandydat,draft
centre.assignments.level,Level,Level,draft
centre.assignments.primary,Primary Examiner,Primary Egzamininer,draft
centre.assignments.secondary,Secondary Examiner,Secondary Egzamininer,draft
centre.workflow.title,Pilot workflow status,Pilot workflow status,draft
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across konfiguracja, assignments, kandydat sekcjas, responses, raport drafts and outdoor scoring.",draft
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,draft
centre.workflow.setupIssues,Centre Setup issue(s),Centre Konfiguracja issue(s),draft
centre.workflow.candidates,candidates,kandydats,draft
centre.workflow.examiners,examiners,egzamininers,draft
centre.workflow.assignments,assignments,assignments,draft
centre.workflow.testPackageImported,test package imported,test pakiet importujed,draft
centre.workflow.noTestPackage,no test package,no test pakiet,draft
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Wczytaj Centre Konfiguracja to use backend-wczytajed pilot data; counts may reflect demo fallback state until then.,draft
centre.workflow.candidate,Candidate,Kandydat,draft
centre.workflow.level,Level,Level,draft
centre.workflow.primaryExaminer,Primary Examiner,Primary Egzamininer,draft
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Egzamininer,draft
centre.workflow.identity,Identity,Identity,draft
centre.workflow.writtenTest,Written test,Written test,draft
centre.workflow.report,Report,Raport,draft
centre.workflow.responses,Responses,Responses,draft
centre.workflow.outdoorScores,Outdoor scores,Outdoor wyniks,draft
centre.workflow.confirmed,confirmed,confirmed,draft
centre.workflow.notConfirmed,not confirmed,not confirmed,draft
centre.workflow.closedAt,Closed,Closed,draft
centre.workflow.sections,sections,sekcjas,draft
centre.workflow.photos,photos,zdjęcies,draft
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Otwórz the Centre portal with a valid Centre QR session, then try again.",draft
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",draft
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Wczytajed Centre Konfiguracja for egzamin event {event}.,draft
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Zapiszd Centre Konfiguracja for egzamin event {event}.,draft
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centre Konfiguracja could not be wczytajed. Check the session and try again.,draft
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centre Konfiguracja could not be zapiszd. Check the Centre session and try again.,draft
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Otwórz the Centre portal with a valid Centre QR session before downwczytajing the Audit Pakiet.,draft
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Importujed {variants} variants and {pytanies} pytanies.,draft
status.testImport.failedWithMessage,Test import failed: {message},Test importuj failed: {message},draft
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Test importuj failed: the file could not be read.,draft
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Otwórz this portal with a valid QR session before wczytajing the evaluation preview.,draft
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reotwórz the Egzamininer QR session and try again.,draft
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Otwórz this portal with a valid QR session before downwczytajing the Draft Eksportuj.,draft
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Draft Eksportuj is unavailable. Reotwórz the Egzamininer QR session and try again.,draft
common.open,Open,Otwórz,draft
common.close,Close,Zamknij,draft
common.cancel,Cancel,Anuluj,draft
common.ready,Ready,Gotowe,draft
app.heroTitle,Digital VETcert examination system,Digital VETcert egzaminination system,draft
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,draft
qrScanner.scan,Scan {role} QR,Scan {role} QR,draft
admin.openExam.title,Admin / Open exam event,Admin / Otwórz egzamin event,draft
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Admin sets centre, date, place and egzamin język, then sends centre access QR.",draft
admin.centre,Certification centre,Certification centre,draft
admin.examLanguage,Exam language,Egzamin język,draft
admin.examDate,Exam date,Egzamin date,draft
admin.place,Place,Place,draft
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit egzaminination materials,draft
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four egzaminination documents. Pytanies, sekcjas, scoring and egzamininer guidance are edited here and zapiszd as the final egzaminination pakiet.",draft
admin.authoring.panelTitle,Create/edit examination materials,Create/edit egzaminination materials,draft
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Edit the four source egzaminination documents. These data create the egzaminination pakiet for the system and the print/PDF document version.,draft
admin.authoring.loadVet,Load .vet,Wczytaj .vet,draft
admin.authoring.printPdf,Print / PDF,Print / PDF,draft
admin.authoring.createPackage,Create package,Create pakiet,draft
admin.authoring.advancedTools,Advanced tools,Narzędzia zaawansowane,draft
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,draft
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,draft
admin.authoring.openCurrent,Open current materials,Otwórz aktualny materials,draft
admin.authoring.openDraft,Open working draft,Otwórz working draft,draft
admin.authoring.saveDraft,Save draft,Zapisz draft,draft
admin.authoring.saveAdminJson,Save as Admin JSON package,Zapisz as Admin JSON pakiet,draft
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest pakiet from Admin workflow,draft
admin.authoring.listDrafts,List all drafts,List all drafts,draft
admin.authoring.importJson,Import JSON,Importuj JSON,draft
admin.authoring.exportDraft,Export draft,Eksportuj draft,draft
admin.authoring.exportPackageJson,Export package JSON,Eksportuj pakiet JSON,draft
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine egzamin preparation, use the main buttons above.",draft
admin.authoring.savedDrafts,Saved structured drafts,Zapiszd structured drafts,draft
admin.authoring.selectDraft,Select draft...,Select draft...,draft
admin.authoring.openDraftShort,Open draft,Otwórz draft,draft
admin.authoring.itemsLabel,items,items,draft
admin.authoring.questionsLabel,questions,pytanies,draft
admin.authoring.pointsLabel,marks,punkty,draft
admin.authoring.manualReviewTitle,Manual document review,Ręczny przegląd dokumentu,draft
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Edit the preface, kandydat introduction, sekcjas and pytanies. This structure is the source for the JSON pakiet and print/PDF.",draft
admin.authoring.filterSection,Filter section,Filtruj sekcję,draft
admin.authoring.allSections,All sections,Wszystkie sekcje,draft
admin.authoring.documentTitle,Document title,Tytuł dokumentu,draft
admin.authoring.prefaceLabel,Preface / document notes,Przedmowa / uwagi dokumentu,draft
admin.authoring.candidateIntroLabel,Introductory text for candidates,Tekst wprowadzający dla kandydatów,draft
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Sekcjas are created from the Sekcja field in individual pytanies.,draft
admin.authoring.addItem,+ item,+ pozycja,draft
admin.authoring.noItems,This document has no items yet.,Ten dokument nie ma jeszcze pozycji.,draft
admin.authoring.noSectionItems,This section has no items yet.,Ta sekcja nie ma jeszcze pozycji.,draft
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,No active pakiet is wczytajed. Use Wczytaj .vet or create a new pakiet.,draft
admin.authoring.itemEditorTitle,Edit item,Edytuj pozycję,draft
admin.authoring.idLabel,ID,ID,draft
admin.authoring.numberLabel,Number,Numer,draft
admin.authoring.typeLabel,Type,Typ,draft
admin.authoring.maxScoreLabel,Maximum score,Maksymalna liczba punktów,draft
admin.authoring.sectionFieldLabel,Section,Sekcja,draft
admin.authoring.themeLabel,Theme,Temat,draft
admin.authoring.questionBodyLabel,Question body,Treść pytania,draft
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Pytanie body / kandydat tekst,draft
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Egzamininer help / scoring guidance,draft
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Opcje, jedna w wierszu, np. A. ...",draft
admin.authoring.correctAnswerLabel,Correct answer,Prawidłowa odpowiedź,draft
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Egzamininer help / correct odpowiedź / scoring guidance,draft
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered sekcja,draft
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were zapiszd locally.,draft
admin.authoring.autosaveFailed,Local autosave failed.,Local autozapisz failed.,draft
common.duplicate,Duplicate,Duplikuj,draft
common.delete,Delete,Usuń,draft
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and egzaminination język, then sends the Centre access link / QR.",draft
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,draft
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Egzaminination content translation is controlled by the pakiet created in sekcja A.,draft
admin.centreAccess.title,Centre access link / QR,Centre access link / QR,draft
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,draft
admin.centreAccess.scan,Scan centre QR,Scan centre QR,draft
admin.multilingual.title,Admin / Multilingual layer,Admin / warstwa wielojęzyczna,draft
admin.multilingual.subtitle,UI translations are managed separately from exam content.,UI translations are managed separately from egzamin content.,draft
admin.multilingual.sourceTerms,EN source + national terms,EN source + national terms,draft
admin.multilingual.needsReview,needs review,needs review,draft
status.openedForCentre,Opened for Centre,Otwórzed for Centre,draft
audit.centreAccessSent,Centre access link sent,Centre access link sent,draft
