key,source,target,status
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Jelölts are shown.,draft
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Vizsgainer completes the full outdoor form; Secondary input is supporting.,draft
help.examiner.autosave,Scores and notes autosave to the sync queue.,Pontszáms and notes automentés to the sync queue.,draft
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Jelölts are missing, ask the Centre to assign and mentés Centre Beállítás.",draft
centre.validation.title,Centre Setup checks,Központbeállítás ellenőrzései,draft
centre.validation.ready,Ready for pilot smoke test,Kész for pilot smoke test,draft
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,draft
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Hibas should be fixed before distributing QR links. Figyelmeztetéss can be reviewed during pilot preparation.,draft
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Nincs validációs probléma. A beállítás kész a pilot smoke-tesztre.,draft
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,draft
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",draft
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,draft
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix validáció hibas before distributing QR links.,draft
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Mentés Centre Beállítás before distributing QR links.,draft
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importálás/select a test csomag before written test pilot runs.,draft
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Betöltés backend Centre Beállítás before pilot testing with real users.,draft
centre.run.title,Pilot run summary,Pilot run summary,draft
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Jelölt or Vizsgainer QR links.,draft
centre.run.dataMode,Data mode,Data mode,draft
centre.run.setup,Centre Setup,Centre Beállítás,draft
centre.run.validation,Validation,Validáció,draft
centre.run.testPackage,Test package,Test csomag,draft
centre.run.qrDistribution,QR distribution,QR distribution,draft
centre.run.backend,backend-loaded pilot data,backend-betöltésed pilot data,draft
centre.run.demo,demo fallback data,demo fallback data,draft
centre.run.saved,Saved / no local changes,Mentésd / no local changes,draft
centre.run.unsaved,Unsaved local changes,Unmentésd local changes,draft
centre.run.imported,Imported,Importálásed,draft
centre.run.missing,Missing,Missing,draft
centre.run.qrReady,Ready after setup is saved and backend-loaded,Kész after beállítás is mentésd and backend-betöltésed,draft
centre.run.review,Review guardrails,Review guardrails,draft
centre.network.title,Network readiness checklist,Network readiness checklist,draft
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Jelölt QR and Vizsgainer QR links during a pilot session.,draft
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,draft
centre.network.internet,Internet access works on tablets,Internet access works on tablets,draft
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL megnyitáss on tablets,draft
centre.network.centreQr,Centre QR/session opens,Centre QR/session megnyitáss,draft
centre.network.candidateQr,Candidate QR opens on a tablet,Jelölt QR megnyitáss on a tablet,draft
centre.network.examinerQr,Examiner QR opens on a tablet,Vizsgainer QR megnyitáss on a tablet,draft
centre.network.setup,Save/Load Centre Setup tested,Mentés/Betöltés Centre Beállítás tested,draft
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,draft
centre.network.export,Export download tested,Exportálás downbetöltés tested,draft
qr.title,Centre / QR access pack,Centre / QR access pack,draft
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Jelölt or Vizsgainer only their own Jelölt QR or Vizsgainer QR link. Backend-betöltésed QR URLs appear after Betöltés/Mentés Centre Beállítás; demo fallback QR links are for local prototype testing only.,draft
qr.candidateLinks,Candidate QR links,Jelölt QR links,draft
qr.examinerLinks,Examiner QR links,Vizsgainer QR links,draft
qr.copy,Copy link,Copy link,draft
common.scanQr,Scan QR,Scan QR,draft
common.loggedIn,Logged in,Logged in,draft
common.logout,Logout,Logout,draft
candidate.view.title,Candidate / Tablet login and workspace,Jelölt / Tablet login and workspace,draft
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Jelölt megnyitáss only their own QR workspace, confirms identity, then completes each vizsga szakasz.",draft
candidate.qrAccess.title,Candidate QR access,Jelölt QR access,draft
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Centre. This portal only shows the aktuális Jelölt workspace.,draft
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,No Jelölt is logged in. Scan the personal Jelölt QR issued by the Centre.,draft
examiner.view.title,Examiner / Landing page and Outdoor exercises,Vizsgainer / Landing page and Outdoor exercises,draft
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Vizsgainer logs in, confirms identity, sees assigned jelölts and megnyitáss outdoor forms.",draft
examiner.qrAccess.title,Examiner QR access,Vizsgainer QR access,draft
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Vizsgainer QR issued by the Centre. This portal only shows assigned Jelölt work.,draft
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,No Vizsgainer is logged in. Scan the personal Vizsgainer QR issued by the Centre.,draft
candidate.identity.confirm,Confirm identity,Confirm identity,draft
candidate.sections.open,Open section,Megnyitás szakasz,draft
test.title,Written test,Written test,draft
test.noQuestions,No written test questions are available for this variant.,No written test kérdéss are available for this variant.,draft
test.submit,Submit and close written test,Submit and close written test,draft
report.fieldNotes,Field notes,Field notes,draft
common.back,Back,Back,draft
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",draft
common.opened,Opened,Megnyitásed,draft
common.closed,Closed,Closed,draft
common.points,point(s),point(s),draft
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,draft
candidate.identity.name,Candidate name,Jelölt name,draft
candidate.identity.examLevel,Exam level,Vizsga level,draft
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before megnyitásing vizsga szakaszs.,draft
candidate.identity.confirmed,Identity confirmed,Identity confirmed,draft
candidate.landing.title,Candidate landing page,Jelölt landing page,draft
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Review which szakaszs are kész before megnyitásing work for this vizsga attempt.,draft
candidate.readiness.identity,Identity confirmed,Identity confirmed,draft
candidate.readiness.writtenTest,Written test available,Written test available,draft
candidate.readiness.report,Report section available,Jelentés szakasz available,draft
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,draft
candidate.section.closed,This section is closed.,This szakasz is closed.,draft
candidate.section.open,This section is open.,This szakasz is megnyitás.,draft
candidate.section.locked,This section is locked.,This szakasz is locked.,draft
candidate.section.requestReopen,Request reopen,Request remegnyitás,draft
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Automentésd to the sync queue. Final submit closes this szakasz.,draft
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Centre to importálás/select a test csomag and mentés Centre Beállítás.,draft
test.question,Question,Kérdés,draft
test.writeAnswer,Write your answer here,Write your válasz here,draft
examiner.writtenReview.title,Written test review,Written test review,draft
examiner.writtenReview.variant,Variant,Variant,draft
examiner.writtenReview.correct,correct,correct,draft
examiner.writtenReview.incorrect,incorrect,incorrect,draft
examiner.writtenReview.unanswered,unanswered,unválaszed,draft
examiner.writtenReview.manual,manual review,manual review,draft
examiner.writtenReview.candidateAnswer,Candidate answer,Jelölt válasz,draft
examiner.writtenReview.correctAnswer,Correct answer,Helyes válasz,draft
examiner.writtenReview.computedScore,Computed written score,Computed written pontszám,draft
examiner.writtenReview.apply,Apply computed written score,Apply computed written pontszám,draft
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only kérdéss with a configured correctVálasz are auto-pontszámd. Written válaszs remain vizsgainer-reviewed.,draft
examiner.reportReview.title,Consulting report review,Consulting jelentés review,draft
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Review the jelölt jelentés draft, field notes, fotós and szakasz completeness before assigning the jelentés pontszám.",draft
examiner.reportReview.sections,sections,szakaszs,draft
examiner.reportReview.photos,photos,fotós,draft
examiner.reportReview.complete,complete,complete,draft
examiner.reportReview.filled,filled,filled,draft
examiner.reportReview.missing,missing,missing,draft
report.photoAdded,Photo added to the report draft.,Fotó added to the jelentés draft.,draft
report.photoError,Photo could not be loaded. Try another image.,Fotó could not be betöltésed. Try another image.,draft
examiner.identity.title,Confirm Examiner identity,Confirm Vizsgainer identity,draft
examiner.identity.name,Examiner name,Vizsgainer name,draft
examiner.identity.confirmed,Identity confirmed,Identity confirmed,draft
examiner.identity.confirm,Confirm identity,Confirm identity,draft
examiner.worklist.title,Assigned Candidate worklist,Assigned Jelölt worklist,draft
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Vizsgainer must complete the full outdoor form. Secondary Vizsgainer input is optional/supporting.,draft
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,No assigned Jelölts are available for this Vizsgainer.,draft
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Centre to assign this Vizsgainer as primary or secondary, mentés Centre Beállítás, then remegnyitás the Vizsgainer QR session.",draft
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary vizsgainer for this jelölt,draft
examiner.role.primary,primary,primary,draft
examiner.role.secondary,secondary,secondary,draft
outdoor.backToLanding,Back to landing,Back to landing,draft
outdoor.candidateBinding,Candidate binding,Jelölt binding,draft
outdoor.activeRecord,Active record,Active record,draft
outdoor.level,Level,Level,draft
outdoor.total,Outdoor total,Outdoor total,draft
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,draft
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Jelölt prepares this on paper. Vizsgainer fotógraphs it as a pilot/archive placeholder.,draft
outdoor.paperArchive.button,Photograph paper plan,Fotógraph paper plan,draft
outdoor.paperArchive.photos,Archived photos,Archived fotós,draft
outdoor.points,points,points,draft
outdoor.detail.title,Outdoor form detail,Outdoor form detail,draft
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between szakaszs freely. Each kérdés includes Notes / marking guidance.,draft
outdoor.pointsLabel,Points,Points,draft
outdoor.examinerNotes,Examiner notes / justification,Vizsgainer notes / justification,draft
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,draft
outdoor.mode.primary,primary - full form required,primary - full form required,draft
outdoor.mode.secondary,secondary - optional input,secondary - optional input,draft
outdoor.mode.unassigned,unassigned,unassigned,draft
outdoor.autosave,autosave to sync queue,automentés to sync queue,draft
scoring.title,Examiner / Candidate scoring and evaluation,Vizsgainer / Jelölt scoring and evaluation,draft
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the jelölt level.,draft
scoring.written,Written,Written,draft
scoring.outdoor,Outdoor,Outdoor,draft
scoring.report,Report,Jelentés,draft
scoring.total,Total,Total,draft
scoring.percentage,Percentage,Percentage,draft
scoring.result,Result,Result,draft
scoring.pass,PASS,PASS,draft
scoring.notPassed,NOT PASSED,NOT PASSED,draft
scoring.generate,Generate Evaluation,Generate Evaluation,draft
scoring.loadPreview,Load Evaluation Preview,Betöltés Evaluation Preview,draft
scoring.loading,Loading...,Betöltésing...,draft
scoring.downloadDraftExport,Download Draft Export (.xls),Downbetöltés Draft Exportálás (.xls),draft
scoring.exporting,Exporting...,Exportálásing...,draft
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Draft Exportálás only — not the official VETcert evaluation template.,draft
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,draft
evaluation.preview.title,Evaluation preview,Evaluation preview,draft
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-betöltésed preview of the aktuális Jelölt evaluation data.,draft
evaluation.preview.written,Written,Written,draft
evaluation.preview.outdoor,Outdoor,Outdoor,draft
evaluation.preview.report,Report,Jelentés,draft
evaluation.preview.total,Total,Total,draft
evaluation.preview.percentage,Percentage,Percentage,draft
evaluation.preview.result,Result,Result,draft
evaluation.preview.outdoorScores,Outdoor scores,Outdoor pontszáms,draft
evaluation.preview.reportSummary,Report summary,Jelentés summary,draft
evaluation.preview.hasReportDraft,Report draft,Jelentés draft,draft
evaluation.preview.treesWithContent,Trees with content,Fas with content,draft
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,draft
evaluation.preview.finalSectionsFilled,Final sections filled,Final szakaszs filled,draft
evaluation.preview.photoPlaceholders,Photo placeholders,Fotó placeholders,draft
evaluation.preview.submitted,Submitted,Submitted,draft
evaluation.preview.primaryScores,Primary scores,Primary pontszáms,draft
evaluation.preview.secondaryScores,Secondary scores,Secondary pontszáms,draft
evaluation.preview.yes,yes,yes,draft
evaluation.preview.no,no,no,draft
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Megnyitás delegated workspace,draft
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Megnyitás workspace using Centre QR received from Admin.,draft
centre.access.placeholder,Paste centre token,Paste centre token,draft
centre.access.open,Open centre workspace,Megnyitás centre workspace,draft
centre.access.prototypeToken,Prototype token,Prototype token,draft
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Downbetöltés Centre Audit Csomag (.xls),draft
centre.setupPersistence.exporting,Exporting...,Exportálásing...,draft
centre.dataMode.backend,backend-loaded pilot data,backend-betöltésed pilot data,draft
centre.dataMode.demo,demo fallback data,demo fallback data,draft
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,draft
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,draft
centre.variants.import,Import tests,Tesztek importálása,draft
centre.candidates.title,Candidate list,Jelölt list,draft
centre.candidates.add,Add candidate,Add jelölt,draft
centre.candidateDetails.id,Candidate ID,Jelölt ID,draft
centre.candidateDetails.name,Name,Név,draft
centre.candidateDetails.level,Level,Level,draft
centre.examiners.title,Examiner list,Vizsgainer list,draft
centre.examiners.add,Add examiner,Add vizsgainer,draft
centre.examinerDetails.id,ID,ID,draft
centre.examinerDetails.name,Name,Név,draft
centre.examinerDetails.email,Email,Email,draft
centre.assignments.title,Examiner assignments,Vizsgainer assignments,draft
centre.assignments.candidate,Candidate,Jelölt,draft
centre.assignments.level,Level,Level,draft
centre.assignments.primary,Primary Examiner,Primary Vizsgainer,draft
centre.assignments.secondary,Secondary Examiner,Secondary Vizsgainer,draft
centre.workflow.title,Pilot workflow status,Pilot workflow status,draft
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across beállítás, assignments, jelölt szakaszs, responses, jelentés drafts and outdoor scoring.",draft
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,draft
centre.workflow.setupIssues,Centre Setup issue(s),Centre Beállítás issue(s),draft
centre.workflow.candidates,candidates,jelölts,draft
centre.workflow.examiners,examiners,vizsgainers,draft
centre.workflow.assignments,assignments,assignments,draft
centre.workflow.testPackageImported,test package imported,test csomag importálásed,draft
centre.workflow.noTestPackage,no test package,no test csomag,draft
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Betöltés Centre Beállítás to use backend-betöltésed pilot data; counts may reflect demo fallback state until then.,draft
centre.workflow.candidate,Candidate,Jelölt,draft
centre.workflow.level,Level,Level,draft
centre.workflow.primaryExaminer,Primary Examiner,Primary Vizsgainer,draft
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Vizsgainer,draft
centre.workflow.identity,Identity,Identity,draft
centre.workflow.writtenTest,Written test,Written test,draft
centre.workflow.report,Report,Jelentés,draft
centre.workflow.responses,Responses,Responses,draft
centre.workflow.outdoorScores,Outdoor scores,Outdoor pontszáms,draft
centre.workflow.confirmed,confirmed,confirmed,draft
centre.workflow.notConfirmed,not confirmed,not confirmed,draft
centre.workflow.closedAt,Closed,Closed,draft
centre.workflow.sections,sections,szakaszs,draft
centre.workflow.photos,photos,fotós,draft
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Megnyitás the Centre portal with a valid Centre QR session, then try again.",draft
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",draft
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Betöltésed Centre Beállítás for vizsga event {event}.,draft
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Mentésd Centre Beállítás for vizsga event {event}.,draft
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centre Beállítás could not be betöltésed. Check the session and try again.,draft
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centre Beállítás could not be mentésd. Check the Centre session and try again.,draft
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Megnyitás the Centre portal with a valid Centre QR session before downbetöltésing the Audit Csomag.,draft
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Importálásed {variants} variants and {kérdéss} kérdéss.,draft
status.testImport.failedWithMessage,Test import failed: {message},Test importálás failed: {message},draft
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Test importálás failed: the file could not be read.,draft
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Megnyitás this portal with a valid QR session before betöltésing the evaluation preview.,draft
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Remegnyitás the Vizsgainer QR session and try again.,draft
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Megnyitás this portal with a valid QR session before downbetöltésing the Draft Exportálás.,draft
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Draft Exportálás is unavailable. Remegnyitás the Vizsgainer QR session and try again.,draft
common.open,Open,Megnyitás,draft
common.close,Close,Bezárás,draft
common.cancel,Cancel,Mégse,draft
common.ready,Ready,Kész,draft
app.heroTitle,Digital VETcert examination system,Digital VETcert vizsgaination system,draft
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,draft
qrScanner.scan,Scan {role} QR,Scan {role} QR,draft
admin.openExam.title,Admin / Open exam event,Admin / Megnyitás vizsga event,draft
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Admin sets centre, date, place and vizsga nyelv, then sends centre access QR.",draft
admin.centre,Certification centre,Certification centre,draft
admin.examLanguage,Exam language,Vizsga nyelv,draft
admin.examDate,Exam date,Vizsga date,draft
admin.place,Place,Place,draft
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit vizsgaination materials,draft
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four vizsgaination documents. Kérdéss, szakaszs, scoring and vizsgainer guidance are edited here and mentésd as the final vizsgaination csomag.",draft
admin.authoring.panelTitle,Create/edit examination materials,Create/edit vizsgaination materials,draft
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Edit the four source vizsgaination documents. These data create the vizsgaination csomag for the system and the print/PDF document version.,draft
admin.authoring.loadVet,Load .vet,Betöltés .vet,draft
admin.authoring.printPdf,Print / PDF,Print / PDF,draft
admin.authoring.createPackage,Create package,Create csomag,draft
admin.authoring.advancedTools,Advanced tools,Haladó eszközök,draft
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,draft
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,draft
admin.authoring.openCurrent,Open current materials,Megnyitás aktuális materials,draft
admin.authoring.openDraft,Open working draft,Megnyitás working draft,draft
admin.authoring.saveDraft,Save draft,Mentés draft,draft
admin.authoring.saveAdminJson,Save as Admin JSON package,Mentés as Admin JSON csomag,draft
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest csomag from Admin workflow,draft
admin.authoring.listDrafts,List all drafts,List all drafts,draft
admin.authoring.importJson,Import JSON,Importálás JSON,draft
admin.authoring.exportDraft,Export draft,Exportálás draft,draft
admin.authoring.exportPackageJson,Export package JSON,Exportálás csomag JSON,draft
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine vizsga preparation, use the main buttons above.",draft
admin.authoring.savedDrafts,Saved structured drafts,Mentésd structured drafts,draft
admin.authoring.selectDraft,Select draft...,Select draft...,draft
admin.authoring.openDraftShort,Open draft,Megnyitás draft,draft
admin.authoring.itemsLabel,items,items,draft
admin.authoring.questionsLabel,questions,kérdéss,draft
admin.authoring.pointsLabel,marks,pont,draft
admin.authoring.manualReviewTitle,Manual document review,Kézi dokumentum-ellenőrzés,draft
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Edit the preface, jelölt introduction, szakaszs and kérdéss. This structure is the source for the JSON csomag and print/PDF.",draft
admin.authoring.filterSection,Filter section,Szakasz szűrése,draft
admin.authoring.allSections,All sections,Minden szakasz,draft
admin.authoring.documentTitle,Document title,Dokumentum címe,draft
admin.authoring.prefaceLabel,Preface / document notes,Előszó / dokumentummegjegyzések,draft
admin.authoring.candidateIntroLabel,Introductory text for candidates,Bevezető szöveg jelölteknek,draft
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Szakaszs are created from the Szakasz field in individual kérdéss.,draft
admin.authoring.addItem,+ item,+ elem,draft
admin.authoring.noItems,This document has no items yet.,Ebben a dokumentumban még nincsenek elemek.,draft
admin.authoring.noSectionItems,This section has no items yet.,Ebben a szakaszban még nincsenek elemek.,draft
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,No active csomag is betöltésed. Use Betöltés .vet or create a new csomag.,draft
admin.authoring.itemEditorTitle,Edit item,Elem szerkesztése,draft
admin.authoring.idLabel,ID,ID,draft
admin.authoring.numberLabel,Number,Szám,draft
admin.authoring.typeLabel,Type,Típus,draft
admin.authoring.maxScoreLabel,Maximum score,Maximális pontszám,draft
admin.authoring.sectionFieldLabel,Section,Szakasz,draft
admin.authoring.themeLabel,Theme,Téma,draft
admin.authoring.questionBodyLabel,Question body,Kérdés szövege,draft
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Kérdés body / jelölt szöveg,draft
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Vizsgainer help / scoring guidance,draft
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Opciók, soronként egy, pl. A. ...",draft
admin.authoring.correctAnswerLabel,Correct answer,Helyes válasz,draft
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Vizsgainer help / correct válasz / scoring guidance,draft
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered szakasz,draft
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were mentésd locally.,draft
admin.authoring.autosaveFailed,Local autosave failed.,Local automentés failed.,draft
common.duplicate,Duplicate,Duplikálás,draft
common.delete,Delete,Törlés,draft
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and vizsgaination nyelv, then sends the Centre access link / QR.",draft
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,draft
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Vizsgaination content translation is controlled by the csomag created in szakasz A.,draft
admin.centreAccess.title,Centre access link / QR,Centre access link / QR,draft
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,draft
admin.centreAccess.scan,Scan centre QR,Scan centre QR,draft
admin.multilingual.title,Admin / Multilingual layer,Admin / többnyelvű réteg,draft
admin.multilingual.subtitle,UI translations are managed separately from exam content.,UI translations are managed separately from vizsga content.,draft
admin.multilingual.sourceTerms,EN source + national terms,EN source + national terms,draft
admin.multilingual.needsReview,needs review,needs review,draft
status.openedForCentre,Opened for Centre,Megnyitásed for Centre,draft
audit.centreAccessSent,Centre access link sent,Centre access link sent,draft
status.testImport.loadedStoredFull,Loaded stored test package with {variants} variant(s) and {questions} question(s).,Betöltésed stored test csomag with {variants} variant(s) and {kérdéss} kérdés(s).,draft
status.testImport.loadedStored,Loaded stored test package.,Betöltésed stored test csomag.,draft
