key,en_source,current_ui_text,context
test.writeAnswer,Write your answer here,Write your answer here,Interface term
examiner.writtenReview.title,Written test review,Written test review,Interface term
examiner.writtenReview.variant,Variant,Variant,Interface term
examiner.writtenReview.correct,correct,correct,Interface term
examiner.writtenReview.incorrect,incorrect,incorrect,Interface term
examiner.writtenReview.unanswered,unanswered,unanswered,Interface term
examiner.writtenReview.manual,manual review,manual review,Interface term
examiner.writtenReview.candidateAnswer,Candidate answer,Kandidāts answer,Interface term
examiner.writtenReview.correctAnswer,Correct answer,Correct answer,Interface term
examiner.writtenReview.computedScore,Computed written score,Computed written score,Interface term
examiner.writtenReview.apply,Apply computed written score,Apply computed written score,Interface term
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only jautājumi with a configured correctAtbilde are auto-scored. Written atbildes remain examiner-reviewed.,Interface term
examiner.reportReview.title,Consulting report review,Consulting report review,Interface term
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Pārskatīt the candidate report draft, field notes, photos and section completeness before assigning the report score.",Interface term
examiner.reportReview.sections,sections,sections,Interface term
examiner.reportReview.photos,photos,photos,Interface term
examiner.reportReview.complete,complete,complete,Interface term
examiner.reportReview.filled,filled,filled,Interface term
examiner.reportReview.missing,missing,missing,Interface term
report.photoAdded,Photo added to the report draft.,Fotogrāfija added to the report draft.,Interface term
report.photoError,Photo could not be loaded. Try another image.,Fotogrāfija could not be loaded. Try another image.,Interface term
examiner.identity.title,Confirm Examiner identity,Confirm Eksaminētājs identity,Interface term
examiner.identity.name,Examiner name,Eksaminētājs name,Interface term
examiner.identity.confirmed,Identity confirmed,Identity confirmed,Interface term
examiner.identity.confirm,Confirm identity,Confirm identity,Interface term
examiner.worklist.title,Assigned Candidate worklist,Assigned Kandidāts worklist,Interface term
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Eksaminētājs must complete the full outdoor form. Secondary Eksaminētājs input is optional/supporting.,Interface term
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,Nē assigned Kandidātss are available for this Eksaminētājs.,Interface term
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Centrs to assign this Eksaminētājs as primary or secondary, save Centrs Iestatījumi, then reopen the Eksaminētājs QR session.",Interface term
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary examiner for this candidate,Interface term
examiner.role.primary,primary,primary,Interface term
examiner.role.secondary,secondary,secondary,Interface term
outdoor.backToLanding,Back to landing,Back to landing,Interface term
outdoor.candidateBinding,Candidate binding,Kandidāts binding,Interface term
outdoor.activeRecord,Active record,Active record,Interface term
outdoor.level,Level,Level,Interface term
outdoor.total,Outdoor total,Outdoor total,Interface term
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,Interface term
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Kandidāts prepares this on paper. Eksaminētājs photographs it as a pilot/archive placeholder.,Interface term
outdoor.paperArchive.button,Photograph paper plan,Fotogrāfijagraph paper plan,Interface term
outdoor.paperArchive.photos,Archived photos,Archived photos,Interface term
outdoor.points,points,points,Interface term
outdoor.detail.title,Outdoor form detail,Outdoor form detail,Interface term
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between sections freely. Each question includes Piezīmes / marking guidance.,Interface term
outdoor.pointsLabel,Points,Points,Interface term
outdoor.examinerNotes,Examiner notes / justification,Eksaminētājs notes / justification,Interface term
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,Interface term
outdoor.mode.primary,primary - full form required,primary - full form required,Interface term
outdoor.mode.secondary,secondary - optional input,secondary - optional input,Interface term
outdoor.mode.unassigned,unassigned,unassigned,Interface term
outdoor.autosave,autosave to sync queue,autosave to sync queue,Interface term
scoring.title,Examiner / Candidate scoring and evaluation,Eksaminētājs / Kandidāts scoring and evaluation,Interface term
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the candidate level.,Interface term
scoring.written,Written,Written,Interface term
scoring.outdoor,Outdoor,Outdoor,Interface term
scoring.report,Report,Ziņojums,Interface term
scoring.total,Total,Total,Interface term
scoring.percentage,Percentage,Percentage,Interface term
scoring.result,Result,Rezultāts,Interface term
scoring.pass,PASS,PASS,Interface term
scoring.notPassed,NOT PASSED,NOT PASSED,Interface term
scoring.generate,Generate Evaluation,Generate Evaluation,Interface term
scoring.loadPreview,Load Evaluation Preview,Ielādēt Evaluation Preview,Interface term
scoring.loading,Loading...,Ielādēting...,Interface term
scoring.downloadDraftExport,Download Draft Export (.xls),Download Melnraksts Eksportēt (.xls),Interface term
scoring.exporting,Exporting...,Eksportēting...,Interface term
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Melnraksts Eksportēt only — not the official VETcert evaluation template.,Interface term
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,Interface term
evaluation.preview.title,Evaluation preview,Evaluation preview,Interface term
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-loaded preview of the current Kandidāts evaluation data.,Interface term
evaluation.preview.written,Written,Written,Interface term
evaluation.preview.outdoor,Outdoor,Outdoor,Interface term
evaluation.preview.report,Report,Ziņojums,Interface term
evaluation.preview.total,Total,Total,Interface term
evaluation.preview.percentage,Percentage,Percentage,Interface term
evaluation.preview.result,Result,Rezultāts,Interface term
evaluation.preview.outdoorScores,Outdoor scores,Outdoor scores,Interface term
evaluation.preview.reportSummary,Report summary,Ziņojums summary,Interface term
evaluation.preview.hasReportDraft,Report draft,Ziņojums draft,Interface term
evaluation.preview.treesWithContent,Trees with content,Kokss with content,Interface term
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,Interface term
evaluation.preview.finalSectionsFilled,Final sections filled,Final sections filled,Interface term
evaluation.preview.photoPlaceholders,Photo placeholders,Fotogrāfija placeholders,Interface term
evaluation.preview.submitted,Submitted,Submitted,Interface term
evaluation.preview.primaryScores,Primary scores,Primary scores,Interface term
evaluation.preview.secondaryScores,Secondary scores,Secondary scores,Interface term
evaluation.preview.yes,yes,yes,Interface term
evaluation.preview.no,no,no,Interface term
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Atvērt delegated workspace,Interface term
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Atvērt workspace using Centrs QR received from Administrators.,Interface term
centre.access.placeholder,Paste centre token,Paste centre token,Interface term
centre.access.open,Open centre workspace,Atvērt centre workspace,Interface term
centre.access.prototypeToken,Prototype token,Prototype token,Interface term
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Download Centrs Audit Pakotne (.xls),Interface term
centre.setupPersistence.exporting,Exporting...,Eksportēting...,Interface term
centre.dataMode.backend,backend-loaded pilot data,backend-loaded pilot data,Interface term
centre.dataMode.demo,demo fallback data,demo fallback data,Interface term
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,Interface term
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,Interface term
centre.variants.import,Import tests,Importēt tests,Interface term
centre.candidates.title,Candidate list,Kandidāts list,Interface term
centre.candidates.add,Add candidate,Add candidate,Interface term
centre.candidateDetails.id,Candidate ID,Kandidāts ID,Interface term
centre.candidateDetails.name,Name,Vārds,Interface term
centre.candidateDetails.level,Level,Level,Interface term
centre.examiners.title,Examiner list,Eksaminētājs list,Interface term
centre.examiners.add,Add examiner,Add examiner,Interface term
centre.examinerDetails.id,ID,ID,Interface term
centre.examinerDetails.name,Name,Vārds,Interface term
centre.examinerDetails.email,Email,Email,Interface term
centre.assignments.title,Examiner assignments,Eksaminētājs assignments,Interface term
centre.assignments.candidate,Candidate,Kandidāts,Interface term
centre.assignments.level,Level,Level,Interface term
centre.assignments.primary,Primary Examiner,Primary Eksaminētājs,Interface term
centre.assignments.secondary,Secondary Examiner,Secondary Eksaminētājs,Interface term
centre.workflow.title,Pilot workflow status,Pilot workflow status,Interface term
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.",Interface term
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,Interface term
centre.workflow.setupIssues,Centre Setup issue(s),Centrs Iestatījumi issue(s),Interface term
centre.workflow.candidates,candidates,candidates,Interface term
centre.workflow.examiners,examiners,examiners,Interface term
centre.workflow.assignments,assignments,assignments,Interface term
centre.workflow.testPackageImported,test package imported,test package imported,Interface term
centre.workflow.noTestPackage,no test package,no test package,Interface term
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Ielādēt Centrs Iestatījumi to use backend-loaded pilot data; counts may reflect demo fallback state until then.,Interface term
centre.workflow.candidate,Candidate,Kandidāts,Interface term
centre.workflow.level,Level,Level,Interface term
centre.workflow.primaryExaminer,Primary Examiner,Primary Eksaminētājs,Interface term
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Eksaminētājs,Interface term
centre.workflow.identity,Identity,Identity,Interface term
centre.workflow.writtenTest,Written test,Written test,Interface term
centre.workflow.report,Report,Ziņojums,Interface term
centre.workflow.responses,Responses,Responses,Interface term
centre.workflow.outdoorScores,Outdoor scores,Outdoor scores,Interface term
centre.workflow.confirmed,confirmed,confirmed,Interface term
centre.workflow.notConfirmed,not confirmed,not confirmed,Interface term
centre.workflow.closedAt,Closed,Aizvērtd,Interface term
centre.workflow.sections,sections,sections,Interface term
centre.workflow.photos,photos,photos,Interface term
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Atvērt the Centrs portal with a valid Centrs QR session, then try again.",Interface term
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",Interface term
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Ielādēted Centrs Iestatījumi for exam event {event}.,Interface term
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Saglabāts Centrs Iestatījumi for exam event {event}.,Interface term
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centrs Iestatījumi could not be loaded. Check the session and try again.,Interface term
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centrs Iestatījumi could not be saved. Check the Centrs session and try again.,Interface term
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Atvērt the Centrs portal with a valid Centrs QR session before downloading the Audit Pakotne.,Interface term
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Importētēts {variants} variants and {jautājumi} jautājumi. {questions},Interface term
status.testImport.failedWithMessage,Test import failed: {message},Tests import failed: {message},Interface term
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Tests import failed: the file could not be read.,Interface term
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Atvērt this portal with a valid QR session before loading the evaluation preview.,Interface term
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reopen the Eksaminētājs QR session and try again.,Interface term
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Atvērt this portal with a valid QR session before downloading the Melnraksts Eksportēt.,Interface term
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Melnraksts Eksportēt is unavailable. Reopen the Eksaminētājs QR session and try again.,Interface term
common.open,Open,Atvērt,Interface term
common.close,Close,Aizvērt,Interface term
common.cancel,Cancel,Cancel,Interface term
common.ready,Ready,Gatavs,Interface term
app.heroTitle,Digital VETcert examination system,Digital VETcert examination system,Interface term
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,Interface term
qrScanner.scan,Scan {role} QR,Scan {role} QR,Interface term
admin.openExam.title,Admin / Open exam event,Administrators / Atvērt exam event,Interface term
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Administrators sets centre, date, place and exam language, then sends centre access QR.",Interface term
admin.centre,Certification centre,Certification centre,Interface term
admin.examLanguage,Exam language,Exam language,Interface term
admin.examDate,Exam date,Exam date,Interface term
admin.place,Place,Place,Interface term
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit examination materials,Interface term
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four examination documents. Jautājumss, sections, scoring and examiner guidance are edited here and saved as the final examination package.",Interface term
admin.authoring.panelTitle,Create/edit examination materials,Create/edit examination materials,Interface term
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Rediģēt the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Interface term
admin.authoring.loadVet,Load .vet,Ielādēt .vet,Interface term
admin.authoring.printPdf,Print / PDF,Print / PDF,Interface term
admin.authoring.createPackage,Create package,Create package,Interface term
admin.authoring.advancedTools,Advanced tools,Advanced tools,Interface term
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,Interface term
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,Interface term
admin.authoring.openCurrent,Open current materials,Atvērt current materials,Interface term
admin.authoring.openDraft,Open working draft,Atvērt working draft,Interface term
admin.authoring.saveDraft,Save draft,Saglabāt draft,Interface term
admin.authoring.saveAdminJson,Save as Admin JSON package,Saglabāt as Administrators JSON package,Interface term
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest package from Administrators workflow,Interface term
admin.authoring.listDrafts,List all drafts,List all drafts,Interface term
admin.authoring.importJson,Import JSON,Importēt JSON,Interface term
admin.authoring.exportDraft,Export draft,Eksportēt draft,Interface term
admin.authoring.exportPackageJson,Export package JSON,Eksportēt package JSON,Interface term
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.",Interface term
admin.authoring.savedDrafts,Saved structured drafts,Saglabāts structured drafts,Interface term
admin.authoring.selectDraft,Select draft...,Select draft...,Interface term
admin.authoring.openDraftShort,Open draft,Atvērt draft,Interface term
admin.authoring.itemsLabel,items,vienumi,Interface term
admin.authoring.questionsLabel,questions,jautājumi,Interface term
admin.authoring.pointsLabel,marks,punkti,Interface term
admin.authoring.manualReviewTitle,Manual document review,Manual document review,Interface term
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Rediģēt the preface, candidate introduction, sections and jautājumi. This structure is the source for the JSON package and print/PDF.",Interface term
admin.authoring.filterSection,Filter section,Filter section,Interface term
admin.authoring.allSections,All sections,Visi sections,Interface term
admin.authoring.documentTitle,Document title,Document title,Interface term
admin.authoring.prefaceLabel,Preface / document notes,Preface / document notes,Interface term
admin.authoring.candidateIntroLabel,Introductory text for candidates,Introductory text for candidates,Interface term
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Sadaļas are created from the Sadaļa field in individual jautājumi.,Interface term
admin.authoring.addItem,+ item,+ item,Interface term
admin.authoring.noItems,This document has no items yet.,This document has no vienumi yet.,Interface term
admin.authoring.noSectionItems,This section has no items yet.,This section has no vienumi yet.,Interface term
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,Nē active package is loaded. Use Ielādēt .vet or create a new package.,Interface term
admin.authoring.itemEditorTitle,Edit item,Rediģēt item,Interface term
admin.authoring.idLabel,ID,ID,Interface term
admin.authoring.numberLabel,Number,Numurs,Interface term
admin.authoring.typeLabel,Type,Tips,Interface term
admin.authoring.maxScoreLabel,Maximum score,Maximum score,Interface term
admin.authoring.sectionFieldLabel,Section,Sadaļa,Interface term
admin.authoring.themeLabel,Theme,Tēma,Interface term
admin.authoring.questionBodyLabel,Question body,Jautājums body,Interface term
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Jautājums body / candidate text,Interface term
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Eksaminētājs help / scoring guidance,Interface term
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Options, one per line, e.g. A. ...",Interface term
admin.authoring.correctAnswerLabel,Correct answer,Correct answer,Interface term
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Eksaminētājs help / correct answer / scoring guidance,Interface term
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered section,Interface term
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were saved locally.,Interface term
admin.authoring.autosaveFailed,Local autosave failed.,Local autosave failed.,Interface term
common.duplicate,Duplicate,Dublēt,Interface term
common.delete,Delete,Dzēst,Interface term
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and examination language, then sends the Centrs access link / QR.",Interface term
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,Interface term
