key,source,target,status
examiner.view.title,Examiner / Landing page and Outdoor exercises,Exameiner / Landing page and Outdoor exercises,draft
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Exameiner logs in, confirms identity, sees assigned candidatos and abrirs outdoor forms.",draft
examiner.qrAccess.title,Examiner QR access,Exameiner QR access,draft
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Exameiner QR issued by the Centre. This portal only shows assigned Candidato work.,draft
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,No Exameiner is logged in. Scan the personal Exameiner QR issued by the Centre.,draft
candidate.identity.confirm,Confirm identity,Confirm identity,draft
candidate.sections.open,Open section,Abrir secção,draft
test.title,Written test,Written test,draft
test.noQuestions,No written test questions are available for this variant.,No written test perguntas are available for this variant.,draft
test.submit,Submit and close written test,Submit and close written test,draft
report.fieldNotes,Field notes,Field notes,draft
common.back,Back,Back,draft
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",draft
common.opened,Opened,Abrired,draft
common.closed,Closed,Closed,draft
common.points,point(s),point(s),draft
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,draft
candidate.identity.name,Candidate name,Candidato name,draft
candidate.identity.examLevel,Exam level,Exame level,draft
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before abriring exame secçãos.,draft
candidate.identity.confirmed,Identity confirmed,Identity confirmed,draft
candidate.landing.title,Candidate landing page,Candidato landing page,draft
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Review which secçãos are pronto before abriring work for this exame attempt.,draft
candidate.readiness.identity,Identity confirmed,Identity confirmed,draft
candidate.readiness.writtenTest,Written test available,Written test available,draft
candidate.readiness.report,Report section available,Relatório secção available,draft
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,draft
candidate.section.closed,This section is closed.,This secção is closed.,draft
candidate.section.open,This section is open.,This secção is abrir.,draft
candidate.section.locked,This section is locked.,This secção is locked.,draft
candidate.section.requestReopen,Request reopen,Request reabrir,draft
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Autoguardard to the sync queue. Final submit closes this secção.,draft
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Centre to importar/select a test pacote and guardar Centre Configuração.,draft
test.question,Question,Pergunta,draft
test.writeAnswer,Write your answer here,Write your resposta here,draft
examiner.writtenReview.title,Written test review,Written test review,draft
examiner.writtenReview.variant,Variant,Variant,draft
examiner.writtenReview.correct,correct,correct,draft
examiner.writtenReview.incorrect,incorrect,incorrect,draft
examiner.writtenReview.unanswered,unanswered,unrespostaed,draft
examiner.writtenReview.manual,manual review,manual review,draft
examiner.writtenReview.candidateAnswer,Candidate answer,Candidato resposta,draft
examiner.writtenReview.correctAnswer,Correct answer,Resposta correta,draft
examiner.writtenReview.computedScore,Computed written score,Computed written pontuação,draft
examiner.writtenReview.apply,Apply computed written score,Apply computed written pontuação,draft
examiner.writtenReview.helper,Only questions with a configured correctAnswer are auto-scored. Written answers remain examiner-reviewed.,Only perguntas with a configured correctResposta are auto-pontuaçãod. Written respostas remain exameiner-reviewed.,draft
examiner.reportReview.title,Consulting report review,Consulting relatório review,draft
examiner.reportReview.helper,"Review the candidate report draft, field notes, photos and section completeness before assigning the report score.","Review the candidato relatório draft, field notes, fotografias and secção completeness before assigning the relatório pontuação.",draft
examiner.reportReview.sections,sections,secçãos,draft
examiner.reportReview.photos,photos,fotografias,draft
examiner.reportReview.complete,complete,complete,draft
examiner.reportReview.filled,filled,filled,draft
examiner.reportReview.missing,missing,missing,draft
report.photoAdded,Photo added to the report draft.,Fotografia added to the relatório draft.,draft
report.photoError,Photo could not be loaded. Try another image.,Fotografia could not be carregared. Try another image.,draft
examiner.identity.title,Confirm Examiner identity,Confirm Exameiner identity,draft
examiner.identity.name,Examiner name,Exameiner name,draft
examiner.identity.confirmed,Identity confirmed,Identity confirmed,draft
examiner.identity.confirm,Confirm identity,Confirm identity,draft
examiner.worklist.title,Assigned Candidate worklist,Assigned Candidato worklist,draft
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Exameiner must complete the full outdoor form. Secondary Exameiner input is optional/supporting.,draft
examiner.worklist.emptyTitle,No assigned Candidates are available for this Examiner.,No assigned Candidatos are available for this Exameiner.,draft
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Ask the Centre to assign this Exameiner as primary or secondary, guardar Centre Configuração, then reabrir the Exameiner QR session.",draft
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,I am the primary exameiner for this candidato,draft
examiner.role.primary,primary,primary,draft
examiner.role.secondary,secondary,secondary,draft
outdoor.backToLanding,Back to landing,Back to landing,draft
outdoor.candidateBinding,Candidate binding,Candidato binding,draft
outdoor.activeRecord,Active record,Active record,draft
outdoor.level,Level,Level,draft
outdoor.total,Outdoor total,Outdoor total,draft
outdoor.paperArchive.title,Paper management plan archive,Paper management plan archive,draft
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Candidato prepares this on paper. Exameiner fotografiagraphs it as a pilot/archive placeholder.,draft
outdoor.paperArchive.button,Photograph paper plan,Fotografiagraph paper plan,draft
outdoor.paperArchive.photos,Archived photos,Archived fotografias,draft
outdoor.points,points,points,draft
outdoor.detail.title,Outdoor form detail,Outdoor form detail,draft
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Jump between secçãos freely. Each pergunta includes Notes / marking guidance.,draft
outdoor.pointsLabel,Points,Points,draft
outdoor.examinerNotes,Examiner notes / justification,Exameiner notes / justification,draft
outdoor.submit,Submit and close outdoor form,Submit and close outdoor form,draft
outdoor.mode.primary,primary - full form required,primary - full form required,draft
outdoor.mode.secondary,secondary - optional input,secondary - optional input,draft
outdoor.mode.unassigned,unassigned,unassigned,draft
outdoor.autosave,autosave to sync queue,autoguardar to sync queue,draft
scoring.title,Examiner / Candidate scoring and evaluation,Exameiner / Candidato scoring and evaluation,draft
scoring.subtitle,Scoring engine uses the candidate level.,Scoring engine uses the candidato level.,draft
scoring.written,Written,Written,draft
scoring.outdoor,Outdoor,Outdoor,draft
scoring.report,Report,Relatório,draft
scoring.total,Total,Total,draft
scoring.percentage,Percentage,Percentage,draft
scoring.result,Result,Result,draft
scoring.pass,PASS,PASS,draft
scoring.notPassed,NOT PASSED,NOT PASSED,draft
scoring.generate,Generate Evaluation,Generate Evaluation,draft
scoring.loadPreview,Load Evaluation Preview,Carregar Evaluation Preview,draft
scoring.loading,Loading...,Carregaring...,draft
scoring.downloadDraftExport,Download Draft Export (.xls),Downcarregar Draft Exportar (.xls),draft
scoring.exporting,Exporting...,Exportaring...,draft
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Draft Exportar only — not the official VETcert evaluation template.,draft
scoring.lastGenerated,Last generated evaluation,Last generated evaluation,draft
evaluation.preview.title,Evaluation preview,Evaluation preview,draft
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backend-carregared preview of the atual Candidato evaluation data.,draft
evaluation.preview.written,Written,Written,draft
evaluation.preview.outdoor,Outdoor,Outdoor,draft
evaluation.preview.report,Report,Relatório,draft
evaluation.preview.total,Total,Total,draft
evaluation.preview.percentage,Percentage,Percentage,draft
evaluation.preview.result,Result,Result,draft
evaluation.preview.outdoorScores,Outdoor scores,Outdoor pontuaçãos,draft
evaluation.preview.reportSummary,Report summary,Relatório summary,draft
evaluation.preview.hasReportDraft,Report draft,Relatório draft,draft
evaluation.preview.treesWithContent,Trees with content,Árvores with content,draft
evaluation.preview.fieldNotesFilled,Field notes filled,Field notes filled,draft
evaluation.preview.finalSectionsFilled,Final sections filled,Final secçãos filled,draft
evaluation.preview.photoPlaceholders,Photo placeholders,Fotografia placeholders,draft
evaluation.preview.submitted,Submitted,Submitted,draft
evaluation.preview.primaryScores,Primary scores,Primary pontuaçãos,draft
evaluation.preview.secondaryScores,Secondary scores,Secondary pontuaçãos,draft
evaluation.preview.yes,yes,yes,draft
evaluation.preview.no,no,no,draft
centre.access.title,Certification centre / Open delegated workspace,Certification centre / Abrir delegated workspace,draft
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Abrir workspace using Centre QR received from Admin.,draft
centre.access.placeholder,Paste centre token,Paste centre token,draft
centre.access.open,Open centre workspace,Abrir centre workspace,draft
centre.access.prototypeToken,Prototype token,Prototype token,draft
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Downcarregar Centre Audit Pacote (.xls),draft
centre.setupPersistence.exporting,Exporting...,Exportaring...,draft
centre.dataMode.backend,backend-loaded pilot data,backend-carregared pilot data,draft
centre.dataMode.demo,demo fallback data,demo fallback data,draft
centre.copy.copied,Copied {label} QR link,Copied {label} QR link,draft
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Copy unavailable. Select and copy {label} QR link manually.,draft
centre.variants.import,Import tests,Importar testes,draft
centre.candidates.title,Candidate list,Candidato list,draft
centre.candidates.add,Add candidate,Add candidato,draft
centre.candidateDetails.id,Candidate ID,Candidato ID,draft
centre.candidateDetails.name,Name,Nome,draft
centre.candidateDetails.level,Level,Level,draft
centre.examiners.title,Examiner list,Exameiner list,draft
centre.examiners.add,Add examiner,Add exameiner,draft
centre.examinerDetails.id,ID,ID,draft
centre.examinerDetails.name,Name,Nome,draft
centre.examinerDetails.email,Email,Email,draft
centre.assignments.title,Examiner assignments,Exameiner assignments,draft
centre.assignments.candidate,Candidate,Candidato,draft
centre.assignments.level,Level,Level,draft
centre.assignments.primary,Primary Examiner,Primary Exameiner,draft
centre.assignments.secondary,Secondary Examiner,Secondary Exameiner,draft
centre.workflow.title,Pilot workflow status,Pilot workflow status,draft
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Pilot workflow status across configuração, assignments, candidato secçãos, responses, relatório drafts and outdoor scoring.",draft
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Use the sync queue panel to review sync status after smoke test.,draft
centre.workflow.setupIssues,Centre Setup issue(s),Centre Configuração issue(s),draft
centre.workflow.candidates,candidates,candidatos,draft
centre.workflow.examiners,examiners,exameiners,draft
centre.workflow.assignments,assignments,assignments,draft
centre.workflow.testPackageImported,test package imported,test pacote importared,draft
centre.workflow.noTestPackage,no test package,no test pacote,draft
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,This session uses demo fallback data for testing only. Carregar Centre Configuração to use backend-carregared pilot data; counts may reflect demo fallback state until then.,draft
centre.workflow.candidate,Candidate,Candidato,draft
centre.workflow.level,Level,Level,draft
centre.workflow.primaryExaminer,Primary Examiner,Primary Exameiner,draft
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Exameiner,draft
centre.workflow.identity,Identity,Identity,draft
centre.workflow.writtenTest,Written test,Written test,draft
centre.workflow.report,Report,Relatório,draft
centre.workflow.responses,Responses,Responses,draft
centre.workflow.outdoorScores,Outdoor scores,Outdoor pontuaçãos,draft
centre.workflow.confirmed,confirmed,confirmed,draft
centre.workflow.notConfirmed,not confirmed,not confirmed,draft
centre.workflow.closedAt,Closed,Closed,draft
centre.workflow.sections,sections,secçãos,draft
centre.workflow.photos,photos,fotografias,draft
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.","Abrir the Centre portal with a valid Centre QR session, then try again.",draft
status.backendPersistenceUnavailable,"Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.","Backend persistence is not configured. Set up Supabase persistence environment variables on the server, then restart the backend and try again.",draft
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Carregared Centre Configuração for exame event {event}.,draft
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Guardard Centre Configuração for exame event {event}.,draft
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centre Configuração could not be carregared. Check the session and try again.,draft
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centre Configuração could not be guardard. Check the Centre session and try again.,draft
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Abrir the Centre portal with a valid Centre QR session before downcarregaring the Audit Pacote.,draft
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Importared {variants} variants and {perguntas} perguntas.,draft
status.testImport.failedWithMessage,Test import failed: {message},Test importar failed: {message},draft
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Test importar failed: the file could not be read.,draft
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Abrir this portal with a valid QR session before carregaring the evaluation preview.,draft
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Evaluation preview is unavailable. Reabrir the Exameiner QR session and try again.,draft
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Abrir this portal with a valid QR session before downcarregaring the Draft Exportar.,draft
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Draft Exportar is unavailable. Reabrir the Exameiner QR session and try again.,draft
common.open,Open,Abrir,draft
common.close,Close,Fechar,draft
common.cancel,Cancel,Cancelar,draft
common.ready,Ready,Pronto,draft
app.heroTitle,Digital VETcert examination system,Digital VETcert exameination system,draft
app.dedicatedPortal,Dedicated {role} portal,Dedicated {role} portal,draft
qrScanner.scan,Scan {role} QR,Scan {role} QR,draft
admin.openExam.title,Admin / Open exam event,Admin / Abrir exame event,draft
admin.openExam.subtitle,"Admin sets centre, date, place and exam language, then sends centre access QR.","Admin sets centre, date, place and exame idioma, then sends centre access QR.",draft
admin.centre,Certification centre,Certification centre,draft
admin.examLanguage,Exam language,Exame idioma,draft
admin.examDate,Exam date,Exame date,draft
admin.place,Place,Place,draft
admin.authoring.sectionTitle,A - Create/edit examination materials,A - Create/edit exameination materials,draft
admin.authoring.sectionDescription,"Structured source of four examination documents. Questions, sections, scoring and examiner guidance are edited here and saved as the final examination package.","Structured source of four exameination documents. Perguntas, secçãos, scoring and exameiner guidance are edited here and guardard as the final exameination pacote.",draft
admin.authoring.panelTitle,Create/edit examination materials,Create/edit exameination materials,draft
admin.authoring.panelDescription,Edit the four source examination documents. These data create the examination package for the system and the print/PDF document version.,Edit the four source exameination documents. These data create the exameination pacote for the system and the print/PDF document version.,draft
admin.authoring.loadVet,Load .vet,Carregar .vet,draft
admin.authoring.printPdf,Print / PDF,Print / PDF,draft
admin.authoring.createPackage,Create package,Create pacote,draft
admin.authoring.advancedTools,Advanced tools,Ferramentas avançadas,draft
admin.authoring.hideAdvanced,Hide advanced tools,Hide advanced tools,draft
admin.authoring.advancedServiceActions,Advanced / service actions,Advanced / service actions,draft
admin.authoring.openCurrent,Open current materials,Abrir atual materials,draft
admin.authoring.openDraft,Open working draft,Abrir working draft,draft
admin.authoring.saveDraft,Save draft,Guardar draft,draft
admin.authoring.saveAdminJson,Save as Admin JSON package,Guardar as Admin JSON pacote,draft
admin.authoring.useLatestAdminPackage,Use latest package from Admin workflow,Use latest pacote from Admin workflow,draft
admin.authoring.listDrafts,List all drafts,List all drafts,draft
admin.authoring.importJson,Import JSON,Importar JSON,draft
admin.authoring.exportDraft,Export draft,Exportar draft,draft
admin.authoring.exportPackageJson,Export package JSON,Exportar pacote JSON,draft
admin.authoring.advancedHelper,"These tools are mainly for migration, backups and technical checks. For routine exam preparation, use the main buttons above.","These tools are mainly for migration, backups and technical checks. For routine exame preparation, use the main buttons above.",draft
admin.authoring.savedDrafts,Saved structured drafts,Guardard structured drafts,draft
admin.authoring.selectDraft,Select draft...,Select draft...,draft
admin.authoring.openDraftShort,Open draft,Abrir draft,draft
admin.authoring.itemsLabel,items,items,draft
admin.authoring.questionsLabel,questions,perguntas,draft
admin.authoring.pointsLabel,marks,pontos,draft
admin.authoring.manualReviewTitle,Manual document review,Revisão manual do documento,draft
admin.authoring.manualReviewDescription,"Edit the preface, candidate introduction, sections and questions. This structure is the source for the JSON package and print/PDF.","Edit the preface, candidato introduction, secçãos and perguntas. This structure is the source for the JSON pacote and print/PDF.",draft
admin.authoring.filterSection,Filter section,Filtrar secção,draft
admin.authoring.allSections,All sections,Todas as secções,draft
admin.authoring.documentTitle,Document title,Título do documento,draft
admin.authoring.prefaceLabel,Preface / document notes,Prefácio / notas do documento,draft
admin.authoring.candidateIntroLabel,Introductory text for candidates,Texto introdutório para candidatos,draft
admin.authoring.sectionsEmpty,Sections are created from the Section field in individual questions.,Secçãos are created from the Secção field in individual perguntas.,draft
admin.authoring.addItem,+ item,+ item,draft
admin.authoring.noItems,This document has no items yet.,Este documento ainda não tem itens.,draft
admin.authoring.noSectionItems,This section has no items yet.,Esta secção ainda não tem itens.,draft
admin.authoring.noActivePackage,No active package is loaded. Use Load .vet or create a new package.,No active pacote is carregared. Use Carregar .vet or create a new pacote.,draft
admin.authoring.itemEditorTitle,Edit item,Editar item,draft
admin.authoring.idLabel,ID,ID,draft
admin.authoring.numberLabel,Number,Número,draft
admin.authoring.typeLabel,Type,Tipo,draft
admin.authoring.maxScoreLabel,Maximum score,Pontuação máxima,draft
admin.authoring.sectionFieldLabel,Section,Secção,draft
admin.authoring.themeLabel,Theme,Tema,draft
admin.authoring.questionBodyLabel,Question body,Corpo da pergunta,draft
admin.authoring.outdoorQuestionTextLabel,Question body / candidate text,Pergunta body / candidato texto,draft
admin.authoring.examinerGuidanceLabel,Examiner help / scoring guidance,Exameiner help / scoring guidance,draft
admin.authoring.optionsLabel,"Options, one per line, e.g. A. ...","Opções, uma por linha, por ex. A. ...",draft
admin.authoring.correctAnswerLabel,Correct answer,Resposta correta,draft
admin.authoring.scoringHelpLabel,Examiner help / correct answer / scoring guidance,Exameiner help / correct resposta / scoring guidance,draft
admin.authoring.renameFilteredSection,Rename filtered section,Rename filtered secção,draft
admin.authoring.autosavedLocal,Changes were saved locally.,Changes were guardard locally.,draft
admin.authoring.autosaveFailed,Local autosave failed.,Local autoguardar failed.,draft
common.duplicate,Duplicate,Duplicar,draft
common.delete,Delete,Eliminar,draft
admin.openExam.sectionDescription,"The administrator sets the certification centre, date, place and examination language, then sends the Centre access link / QR.","The administrator sets the certification centre, date, place and exameination idioma, then sends the Centre access link / QR.",draft
admin.translation.sectionTitle,C - Interface translation,C - Interface translation,draft
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Exameination content translation is controlled by the pacote created in secção A.,draft
admin.centreAccess.title,Centre access link / QR,Centre access link / QR,draft
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,draft
admin.centreAccess.scan,Scan centre QR,Scan centre QR,draft
admin.multilingual.title,Admin / Multilingual layer,Admin / camada multilingue,draft
admin.multilingual.subtitle,UI translations are managed separately from exam content.,UI translations are managed separately from exame content.,draft
admin.multilingual.sourceTerms,EN source + national terms,EN source + national terms,draft
admin.multilingual.needsReview,needs review,needs review,draft
status.openedForCentre,Opened for Centre,Abrired for Centre,draft
audit.centreAccessSent,Centre access link sent,Centre access link sent,draft
status.testImport.loadedStoredFull,Loaded stored test package with {variants} variant(s) and {questions} question(s).,Carregared stored test pacote with {variants} variant(s) and {perguntas} pergunta(s).,draft
status.testImport.loadedStored,Loaded stored test package.,Carregared stored test pacote.,draft
status.centreAuditExport.unavailable,The Centre Audit Package requires a valid Centre session. Reopen the Centre QR and try again.,The Centre Audit Pacote requires a valid Centre session. Reabrir the Centre QR and try again.,draft
app.mvpPrototype,Full workflow,Full workflow,draft
app.offlineFirst,offline-first,offline-first,draft
common.loading,Loading...,Carregaring...,draft
admin.translation.interfaceOnly,Translation management applies only to the application interface. Exam content comes from the Admin package and must not be changed by UX language.,Translation management applies only to the application interface. Exame content comes from the Admin pacote and must not be changed by UX idioma.,draft
admin.translation.tableTitle,Dedicated UI translation table,Tabela dedicada de tradução da interface,draft
admin.translation.tableHelper,"Every interface term is stored here with its key, English source, current UI translation and context for Admin review.","Every interface term is stored here with its key, English source, atual UI translation and contexto for Admin review.",draft
admin.translation.source,EN source,Fonte EN,draft
admin.translation.current,Current UI text,Texto atual da interface,draft
admin.translation.exportCsv,Export translation CSV,Exportar CSV de traduções,draft
